Name,Cuisine,Coordinate
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.6546611, -79.4225857)"
A&W,Sandwichs et sous-marins;Repas Familial;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Family Meals,"(43.7152731, -79.399798)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Poulet;Canadien;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.7662439, -79.3018587)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.7806744, -79.2996856)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Santé;Poulet;Canadien;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Healthy,"(43.7441839, -79.4868225)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.7610656, -79.2252895)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.7263483, -79.2968635)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.7258264, -79.4174095)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.651413655161974, -79.3789899569656)"
A&W,Sandwichs et sous-marins;Repas Familial;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Family Meals,"(43.666531, -79.3778594)"
A&W,Sandwichs et sous-marins;Repas Familial;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Family Meals,"(43.7931428, -79.4452209)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Poulet;Canadien;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.706840679299304, -79.39707552394259)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Poulet;Canadien;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.64682597305847, -79.40646551656761)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.6631448, -79.3839823)"
A&W,Sandwichs et sous-marins;Repas Familial;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Family Meals,"(43.646024, -79.3896867)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.7062528932, -79.344718682)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Poulet;Canadien;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.6598084, -79.4346541)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.7855992714, -79.1943085282)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.6791035, -79.344712)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Souper;Poulet;Canadien;Diner;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.7368174, -79.2487043)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.6454271, -79.52244689999998)"
A&W,Sandwichs et sous-marins;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers,"(43.704555, -79.407625)"
A&W,Sandwichs et sous-marins;American;Canadian;Breakfast & Brunch;Burgers;Fast Food;Poulet;Canadien;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Américain,"(43.64904289852246, -79.39594019570086)"
A&W,Sandwichs et sous-marins;Repas Familial;Canadian;Breakfast & Brunch;Burgers;Fast Food;Locally Sourced;Poulet;Canadien;Source locale;Chicken;Déjeuner et brunch;Prêt-à-manger;Sandwiches & Subs;Hamburgers;Family Meals,"(43.5975184, -79.5211648)"
