,Name,Address,Cusine
502,When The Pig Came Home,3035 Dundas Street W,Delicatessen; Sandwiches
503,Dutch Dreams,36 Vaughan Road,Ice Cream & Frozen Yogurt
504,Sam James Coffee Bar,150 King Street W,Coffee & Tea
505,The Keg Steakhouse & Bar,560 King Street W,Steakhouses; Bars
506,Dimmi Bar & Trattoria,140 Cumberland St,Italian; Venues & Event Spaces
507,Forget Me Not Cafe,883 Wilson Avenue,Vietnamese
508,Bindia Indian Bistro,16 Market Street,Indian
509,Barsa Taberna,26 Market Street,Tapas Bars
510,The Oxley,121 Yorkville Avenue,Gastropubs
511,To-ne Sushi,414 Queen Street W,Japanese; Sushi Bars; Asian Fusion
516,Nathan Phillips Square,100 Queen Street W,Landmarks & Historical Buildings
517,Carbonic Coffee,37 Baldwin Street,Coffee & Tea; Coffee Roasteries; Cafes
518,Medieval Times Toronto,10 Dufferin Street,Dinner Theater; American (Traditional)
519,Blu Ristorante,17 Yorkville Ave,Italian; Lounges
