Cuisine,Coordinates
Japanese; Mexican; Sushi Bars,"(43.647336, -79.3932435)"
Chinese,"(43.6538024923077, -79.3980690076923)"
Coffee & Tea; Sandwiches; Desserts,"(43.7803226, -79.4211651)"
Burgers,"(43.648434, -79.397321)"
Coffee & Tea; Coffee Roasteries,"(43.6542053, -79.4001807)"
Coffee & Tea; Desserts,"(43.6513409, -79.3970085)"
Korean,"(43.6638316, -79.4166442)"
Japanese; Steakhouses; Barbeque,"(43.6671324, -79.4006315)"
Breakfast & Brunch; Comfort Food,"(43.6642046, -79.4149866)"
Coffee & Tea; Vietnamese,"(43.6646207, -79.4130493)"
Persian/Iranian,"(43.6525565, -79.4331149)"
Food Court,"(43.65034915, -79.3838532685437)"
Pizza; Italian,"(46.5085856, -80.9360197954497)"
Chinese; Dumplings; Soup,"(43.0048963333333, -81.266228)"
Italian; Pizza; Salad,"(43.6412061, -79.4189714)"
French; Desserts; Bars,"(43.647918, -79.4009864)"
Ice Cream & Frozen Yogurt; Desserts,"(43.670822631579, -79.392261368421)"
Cuban; Desserts; Sandwiches,"(43.6461793, -79.4196986)"
Bars; Italian; Breakfast & Brunch,"(43.6439014, -79.3994795)"
Salad; Poke,"(43.6506875, -79.3766921)"
Canadian (New),"(43.8713875, -78.9810891)"
Caribbean,"(43.645313, -79.40058175)"
Seafood,"(43.674841, -79.396462)"
Italian; Sandwiches; Cocktail Bars,"(43.6583005, -79.442251)"
Bakeries; Cafes; Breakfast & Brunch,"(43.6629196, -79.4034116)"
Korean,"(43.6645599, -79.4143924)"
"Wine Bars; Italian; Beer, Wine & Spirits","(43.6590065, -79.3833435)"
Coffee & Tea; Tea Rooms,"(43.6418778, -79.428659)"
French; Wine Bars; Cocktail Bars,"(43.650592, -79.357805)"
Thai; Noodles,"(44.2265025, -76.4836176193182)"
French,"(43.6703935, -79.3910859)"
Barbeque,"(43.645709, -79.4107337)"
Korean,"(43.6555192857143, -79.3987717142857)"
Vegan,"(43.6605582, -79.4325718)"
Sushi Bars; Japanese,"(43.65034915, -79.3838532685437)"
Indian,"(43.6631513, -79.4219757)"
Pizza; Vegan; Ice Cream & Frozen Yogurt,"(43.663385, -79.4186318)"
Italian; Pizza; Salad,"(43.671056, -79.391152)"
Vegan; Vegetarian,"(43.6492662, -79.4224251)"
Coffee & Tea,"(43.6536223, -79.3618997)"
Korean; Dive Bars; Asian Fusion,"(45.389774, -75.6860639097035)"
Japanese,"(43.668133, -79.387207)"
Coffee & Tea; Cafes; Breakfast & Brunch,"(43.6502956, -79.3886641)"
Breakfast & Brunch,"(43.6535663631579, -79.4014644)"
Thai; Noodles,"(43.6548747818182, -79.4160299545455)"
Breweries; Gastropubs; Pizza,"(43.6655235, -79.4653909)"
Korean,"(43.7447731267604, -79.2967156902795)"
Barbeque,"(43.7292649, -79.4030957)"
German; Sandwiches,"(43.6541702, -79.3702551055818)"
Breakfast & Brunch; Diners,"(43.6587077857143, -79.3511885285714)"
Museums,"(43.6781015, -79.409415775)"
Latin American; Fast Food; Comfort Food,"(43.6626507341505, -79.3340359514569)"
Japanese,"(43.6653513, -79.4107716)"
Burgers,"(43.66674420625, -79.3154068625)"
Canadian (New); Cocktail Bars,"(43.648113, -79.3844605467909)"
Steakhouses,"(45.4108287, -75.7118807844497)"
Ice Cream & Frozen Yogurt; Desserts,"(43.6656355608696, -79.3511275652174)"
Pizza; Italian; Salad,"(43.6553551, -79.3993092)"
Indian; Vegetarian,"(43.6588529285714, -79.3493249857143)"
Italian,"(43.6743445, -79.3965625)"
Desserts; Coffee & Tea,"(43.6550731, -79.3996887)"
Korean,"(43.6646289, -79.4140629)"
Thai,"(43.6485802, -79.374533)"
Mexican,"(44.3587588, -79.6515922)"
Coffee & Tea,"(43.6556486, -79.3847106)"
French; Wine Bars,"(43.6458181, -79.4196165333333)"
Lounges; Canadian (New); Breakfast & Brunch,"(43.6487681, -79.3816917928303)"
Creperies; Breakfast & Brunch; Coffee & Tea,"(43.650049, -79.3908298)"
Food Stands; Salad,"(43.6704731, -79.3872520313426)"
Chinese; Noodles; Ramen,"(43.6523099, -79.3975102666667)"
Seafood; Seafood Markets,"(43.6653617, -79.4613256)"
Parks,"(43.6612369, -79.3749689)"
Desserts; Ice Cream & Frozen Yogurt; Coffee & Tea,"(43.647722, -79.390355)"
Greek; Sandwiches,"(43.6777008380952, -79.3504806904762)"
Burgers; Gastropubs,"(43.6635747, -79.3705879)"
Chocolatiers & Shops; Ice Cream & Frozen Yogurt; Desserts,"(43.6507062, -79.3582501)"
Canadian (New); Comfort Food,"(43.67352875, -79.4119694021726)"
Caribbean; Vegan; Gluten-Free,"(43.6550731, -79.3996887)"
Ramen; Noodles,"(43.655826, -79.393899)"
Mediterranean; Halal; Kebab,"(43.64576705, -79.4485819997892)"
Steakhouses; Barbeque; Japanese,"(43.6671324, -79.4006315)"
Vegetarian; Canadian (New); Comfort Food,"(43.6558225, -79.409965)"
Pizza; Italian,"(43.6484289, -79.3849689)"
Himalayan/Nepalese,"(43.6401151, -79.4358526)"
Vegan; Salad; Soup,"(43.6669789, -79.4035075805844)"
Ice Cream & Frozen Yogurt,"(43.6459601, -79.4095532)"
Thai; Noodles; Seafood,"(43.6650423051355, -79.3808010082156)"
Coffee & Tea; Breakfast & Brunch; Cafes,"(45.4011646, -75.7191214079858)"
Bakeries; Coffee & Tea,"(43.6442255, -79.4005946)"
Mexican; Latin American,"(43.6637644, -79.4169172)"
Thai,"(43.655896, -79.393572)"
Creperies,"(43.7053053, -79.5211434)"
Coffee & Tea; Breakfast & Brunch,"(43.647385, -79.4025209)"
Japanese; Noodles,"(43.6482298, -79.399458)"
Chicken Shop; Waffles; Burgers,"(43.654681, -79.400533)"
German,"(43.6434164, -79.4221509)"
French,"(43.6500058965517, -79.4351527344828)"
Live/Raw Food; Organic Stores; Juice Bars & Smoothies,"(43.6750874, -79.4066649846154)"
Japanese,"(43.711349, -79.3640872)"
Sushi Bars; Salad; Poke,"(43.654812, -79.387417)"
Middle Eastern,"(43.6666435, -79.4045998)"
Italian,"(43.650288, -79.376114)"
Pubs; Scottish; Whiskey Bars,"(43.6543297, -79.4235661)"
Sandwiches,"(43.6525588, -79.4122695)"
French,"(45.40141345, -75.7187636454039)"
Bars; American (Traditional),"(43.6825316272727, -79.3280575681818)"
Indian,"(43.68110358, -79.42922462)"
Desserts; Bakeries; Macarons,"(43.6483225, -79.3977267)"
Seafood,"(43.6452158, -79.414344)"
Coffee & Tea,"(43.6449583, -79.4001307)"
Pubs; Canadian (New),"(43.6652742, -79.4650412666667)"
Breakfast & Brunch; Belgian,"(43.6515781, -79.3706106)"
Chinese,"(44.0949184, -77.5971302)"
Middle Eastern; Vegan; Vegetarian,"(43.7009905, -79.3969366)"
Ramen; Noodles,"(43.66036925, -79.3790273529697)"
Coffee & Tea,"(43.6545774, -79.4012591)"
Parks; Beaches,"(43.6230544, -79.3943156372104)"
Japanese; French,"(43.6604664, -79.4319865)"
Coffee & Tea; Organic Stores; Juice Bars & Smoothies,"(43.6645001, -79.3803135)"
