Name,Address,Cusine
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Utopia Café & Grill,586 College St,Tex-Mex; Burgers
Gushi Japanese Street Food,707 Dundas Street W,Street Vendors; Japanese
Lee Chen Asian Bistro,214 King Street W,Dim Sum; Asian Fusion
Ozzy’s Burgers,66 Nassau St,Burgers; Sandwiches; Fast Food
Chica’s Nashville Hot Chicken,2853 Dundas Street W,Chicken Shop; Southern
The Lockhart,1479 Dundas Street W,Bars
Holy Chuck,1450 Yonge Street,Burgers
Souk Tabule,494 Front Street E,Middle Eastern; Salad; Soup
Khmer Thai Restaurant,1018 St Clair Avenue W,Thai; Cambodian
JOEY Yorkdale,305 - B 3401 Dufferin St,Canadian (New); Lounges
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Italian; Seafood
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Pinky’s Ca Phe,53 Clinton Street,Vietnamese
Trinity Bellwoods Park,155 Crawford Street,Parks
Bonjour Brioche,812 Queen Street E,Breakfast & Brunch; French
Te Aro,983 Queen Street E,Coffee & Tea; Cafes
Carousel Bakery,93 Front Street E,Sandwiches; Bakeries
Luma,350 King Street W,Canadian (New); Lounges
I’ll Be Seeing You,747 Queen Street E,Cocktail Bars; Comfort Food
Nu Bügel,240 Augusta Avenue,Bagels
The Shore Club - Toronto,155 Wellington Street W,Seafood; Steakhouses; Cocktail Bars
Restaurant La Banane,227 Ossington Avenue,French; Seafood; Bistros
Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Pizza; Seafood
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Dolce Gelato,697 College Street,Ice Cream & Frozen Yogurt; Desserts; Coffee & Tea
Museum Tavern,208 Bloor Street W,American (Traditional)
Guu Izakaya Toronto,1314 Queen Street W,Japanese; Tapas Bars; Sushi Bars
Rhum Corner,926 Dundas Street W,Caribbean; Salad; Cocktail Bars
Trattoria Taverniti,591 College Street,Italian; Pizza
Michael’s on Simcoe,100 Simcoe Street,Steakhouses; Italian; Seafood
Tokyo Kitchen,20 Charles Street E,Japanese
Bobbette & Belle,1121 Queen Street E,Caterers; Bakeries; Desserts
Crown Princess Fine Dining,1033 Bay Street,Dim Sum
Asian Legend,418 Dundas Street W,Dim Sum
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Stout Irish Pub,221 Carlton Street,Pubs; Irish
The Good Son,1096 Queen Street W,Pizza; Cocktail Bars
Communist’s Daughter,1149 Dundas Street W,Bars
Chino Locos Original,4 Greenwood Avenue,Mexican
Cibo Wine Bar,522 King Street W,Wine Bars; Italian
Smoke’s Poutinerie,218 Adelaide Street W,Fast Food; Poutineries
Fran’s Restaurant,20 College Street,Diners; Breakfast & Brunch; American (Traditional)
Thai Country Kitchen,412 Spadina Ave,Thai; Noodles
Utsav,69 Yorkville Ave,Food Delivery Services; Indian
Fahrenheit Coffee,529 Richmond Street W,Coffee & Tea
RYUS Noodle Bar,669 Queen Street W,Ramen
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Versus Coffee,70 Adelaide Street E,Coffee & Tea
Tilt Arcade Bar,824 Dundas Street West,Arcades; Bars
Pho Hung,350 Spadina Avenue,Vietnamese
Bar Sybanne,229 Ossington Avenue,Mediterranean; Moroccan; Middle Eastern
Northwood,815 W Bloor Street,Cafes; Cocktail Bars
Doomie’s Toronto,1346 Queen St W,Vegan; Vegetarian
Pearl Harbourfront Chinese Cuisine,207 Queens Quay W,Dim Sum; Seafood; Noodles
Death in Venice Gelato,1418 Dundas West,Ice Cream & Frozen Yogurt
Istanbul Cafe & Espresso Bar,174 Eglinton Avenue E,Coffee & Tea; Turkish; Internet Cafes
Ruth’s Chris Steak House,145 Richmond Street W,Steakhouses; Seafood; Lounges
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Seafood; Italian
Fieramosca,36A Prince Arthur Avenue,Italian
Suite 114,116 Dundas Street W,Cocktail Bars
O.Noir,620 Church St,Canadian (New)
The Lakeview,1132 Dundas Street W,Diners; Canadian (New)
Poutini’s House of Poutine,1112 Queen Street W,Fast Food; Poutineries
Madras Masala,796 Bloor Street W,Indian
Formocha,55 Eglinton Avenue E,Coffee & Tea
W Burger Bar,10 College Street,Burgers; Breakfast & Brunch; Bars
Carmen,922 Queen Street W,Spanish
Tango Palace Coffee Company,1156 Queen Street E,Coffee & Tea
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
When The Pig Came Home,3035 Dundas Street W,Delicatessen; Sandwiches
Dutch Dreams,36 Vaughan Road,Ice Cream & Frozen Yogurt
Sam James Coffee Bar,150 King Street W,Coffee & Tea
The Keg Steakhouse & Bar,560 King Street W,Steakhouses; Bars
Dimmi Bar & Trattoria,140 Cumberland St,Italian; Venues & Event Spaces
Forget Me Not Cafe,883 Wilson Avenue,Vietnamese
Bindia Indian Bistro,16 Market Street,Indian
Barsa Taberna,26 Market Street,Tapas Bars
The Oxley,121 Yorkville Avenue,Gastropubs
To-ne Sushi,414 Queen Street W,Japanese; Sushi Bars; Asian Fusion
Flame Food+Design,2197 Bloor Street W,Canadian (New); Turkish
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Seafood; Italian
Nathan Phillips Square,100 Queen Street W,Landmarks & Historical Buildings
Carbonic Coffee,37 Baldwin Street,Coffee & Tea; Coffee Roasteries; Cafes
Medieval Times Toronto,10 Dufferin Street,Dinner Theater; American (Traditional)
Blu Ristorante,17 Yorkville Ave,Italian; Lounges
Chabrol Restaurant,90 Yorkville Avenue,French
Mr Pide,800 Danforth Avenue,Pizza; Turkish
Burrito Bandidos,2 Grosvenor Street,Mexican
Hot-Star,374A Yonge Street,Chicken Wings; Taiwanese; Fast Food
Tokyo Sushi,33 St Joseph Street,Sushi Bars; Japanese
The Tilted Dog Pub & Kitchen,424 Parliament Street,Sandwiches; Pubs
Dönerland,217 Roncesvalles Avenue,Kebab; Mediterranean; Halal
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyugyuya,177 Dundas Street W,Japanese; Fast Food
KINTON RAMEN,402 Queen St W,Ramen
Koyoi Restaurant & Bar,2 Irwin Avenue,Japanese; Bars
Rolltation,2291 Yonge Street,Sushi Bars; Asian Fusion; Poke
Omai Restaurant,3 Baldwin Street,Japanese
Kupfert & Kim,100 King Street West,Vegetarian; Vegan; Gluten-Free
Lake Inez,1471 Gerrard Street E,Bars; Asian Fusion
The Keg Steakhouse + Bar - Esplanade,26 The Esplanade,Steakhouses; Bars; Seafood
Nami Restaurant,55 Adelaide Street E,Japanese; Seafood
La Chilaca Taqueria,214 Augusta Avenue,Mexican
Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Seafood; Pizza
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Barbeque; Steakhouses
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Napoli Centrale,964 Bathurst Street,Italian; Pizza
Fuwa Fuwa Japanese Pancakes,2471 Yonge Street,Desserts; Patisserie/Cake Shop; Bakeries
The Burger’s Priest,3397 Yonge Street,Burgers
Sheherzade Persian Grill And Dizi,422 College St W,Persian/Iranian
Weslodge Bar & Grill,480 King Street W,Canadian (New); Cocktail Bars
One Love Vegetarian,854 Bathurst Street,Caribbean; Vegetarian
Sake Bar Kushi,257 Eglinton Avenue W,Japanese; Sushi Bars; Tapas Bars
JINYA Ramen Bar,399 Church Street,Ramen
Bazara Asian Cuisine,188 Ossington Avenue,Asian Fusion; Sushi Bars
Cinco Mexican Restaurant,131 Roncesvalles Ave,Mexican
Dönerland,217 Roncesvalles Avenue,Mediterranean; Halal; Kebab
Supernova Ballroom,330 Bay Street,Cocktail Bars
Tashi Delek Cafe,223 Jameson Avenue,Himalayan/Nepalese; Cafes
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Uncle Tetsu’s Japanese Angel Cafe,191 Dundas Street W,Desserts; Patisserie/Cake Shop
illstyl3 Sammies,300 Richmond Street W,Cheesesteaks; Sandwiches
Figs and Olives Kitchen,24 Wellesley Street W,Mediterranean; Middle Eastern; Halal
Simit & Chai,787 King Street W,Coffee & Tea; Sandwiches; Bakeries
Mi Taco Taqueria,247 Queen Street W,Mexican
Tasty’s Caribbean Restaurant,405 Spadina Avenue,Caribbean
Venezia Bakery,114 Ossington Avenue,Bakeries; Delis
Kupfert & Kim,140 Spadina Avenue.,Gluten-Free; Vegetarian; Vegan
Morton’s The Steakhouse,4 Avenue Road,Steakhouses
Tre Mari Bakery,1311 Saint Clair Avenue W,Bakeries; Italian; Delicatessen
Panda Express,80 Weston Rd,Chinese
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Flame Food+Design,2197 Bloor Street W,Turkish; Canadian (New)
Supernova Ballroom,330 Bay Street,Cocktail Bars
Stelvio,791 Dundas Street W,Italian
Rialto Espresso Bar,266 Adelaide Street W,Coffee & Tea; Bakeries
El Almacen Yerba Mate Café,1078 Queen Street W,Coffee & Tea
Fresh on Eglinton,90 Eglinton Avenue E,Vegan; Salad; Juice Bars & Smoothies
Jin Dal Lae,647 Bloor Street W,Korean
R&D Restaurant,241 Spadina Avenue,Asian Fusion; Chinese
Naan & Kabob,691 Yonge Street,Afghan; Kebab
Smith,553 Church Street,Breakfast & Brunch; Canadian (New); Bars
Tiger Sugar,348A Yonge Street,Bubble Tea
Touhenboku Ramen Restaurant,261 Queen Street W,Ramen; Desserts
Tashi Delek Cafe,223 Jameson Avenue,Himalayan/Nepalese; Cafes
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Niuda Hand-Pulled Noodles,204 Queen St W,Chinese; Noodles
Sansotei Ramen,115 Fort York Boulevard,Ramen
Cacao 70,28 Gristmill Lane,Breakfast & Brunch; Chocolatiers & Shops
Millie Patisserie & Creamery,12 Oxley Street,Desserts; Bakeries; Ice Cream & Frozen Yogurt
Patisserie 27,401 Jane Street,Bakeries
Gladstone Hotel,1214 Queen Street W,Hotels; Lounges
Eggstatic,1568 bayview avenue,Breakfast & Brunch
Pig Out BBQ,650 Spadina Avenue,Barbeque; American (Traditional); Sandwiches
Golden Thai Restaurant,105 Church Street,Thai
Scaddabush Italian Kitchen & Bar,200 Front Street W.,Italian
Dönerland,217 Roncesvalles Avenue,Mediterranean; Halal; Kebab
Mayrik,1580 Bayview Avenue,Middle Eastern; Mediterranean
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Cherry Street Bar-B-Que,275 Cherry Street,Barbeque
Little Piggy’s - Authentic Korean BBQ,469 Bloor St W,Korean; Barbeque
Pizzeria Libretto,545 King Street W,Pizza; Italian
Bar + Karaoke Lounge,360 Yonge Street,Karaoke; Bars
Umami Poke,1252 Yonge Street,Hawaiian; Seafood; Poke
Chipotle Mexican Grill,323 Yonge St,Mexican; Fast Food
Bloomer’s,873 Bloor Street W,Bakeries; Cafes; Vegan
Daan Go Pastry Lab,202 Baldwin street,Macarons; Desserts; Bakeries
Little Sister,2031 Yonge Street,Indonesian; Bars
Moliceiro Restaurant,217 Ossington Avenue,Portuguese
Il Ponte Cucina Italiana,625 Queen Street E,Italian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Flame Food+Design,2197 Bloor Street W,Canadian (New); Turkish
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Ajisen Ramen,332 Spadina Avenue,Ramen
Fushimi,491 Church Street,Japanese; Sushi Bars
Film Cafe by Eative,230 Augusta Avenue,Breakfast & Brunch; Coffee & Tea; Japanese
Hong Kong Bistro Cafe,472 Dundas Street W,Chinese; Cafes
The Cloak Bar,488 Wellington Street W,Cocktail Bars
Over Easy Restaurant,56 Yonge Street,Breakfast & Brunch
Crêpes à GoGo Spadina,750 Spadina Avenue,French; Cafes
Taverna Mercatto,120 Bremner Boulevard,Italian
Paramount Middle Eastern Kitchen,253 Yonge Street,Middle Eastern
Brick Street Bakery,27 Trinity Street,Bakeries
Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Seafood; Pizza
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
John & Sons Oyster House,56 Temperance Street,Seafood
Pizza-Pide,949 Gerrard Street E,Pizza; Turkish
Old School,800 Dundas Street W,Breakfast & Brunch; American (Traditional)
Drake One Fifty,150 York Street,Cocktail Bars; Breakfast & Brunch; American (Traditional)
iQ,181 Bay Street,Coffee & Tea; Juice Bars & Smoothies; Health Markets
Nugateau Patisserie,717 Queen Street W,Bakeries; Desserts
Soco Kitchen and Bar,75 Lower Simcoe Street,Bars; Canadian (New)
Parka Food Co,424 Queen Street W,Comfort Food; Vegan; Burgers
Craig’s Cookies,1537 Queen Street W,Desserts
Shoushin,3328 Yonge Street,Japanese; Sushi Bars
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Barbeque; Steakhouses
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Union Social Eatery,21 Saint Clair Avenue W,American (Traditional); Canadian (New)
Baddies,679 Lansdowne Avenue,Coffee & Tea; Breakfast & Brunch; Cafes
La Société,131 Bloor Street W,French
Uncle Mikey’s,1597 Dundas Street W,Korean
Black Cat Espresso Bar,1104 College Street,Coffee & Tea; Sandwiches; Ice Cream & Frozen Yogurt
Oretta,633 King Street W,Italian; Bars
Rooster Coffee House,568 Jarvis Street,Coffee & Tea
Café Pamenar,307 Augusta Avenue,Coffee & Tea
La Palma,849 Dundas Street W,Italian
CC Lounge & Whisky Bar,45 Front Street E,Lounges; Cocktail Bars; Whiskey Bars
Dönerland,217 Roncesvalles Avenue,Mediterranean; Halal; Kebab
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
RYUS Noodle Bar,669 Queen Street W,Ramen
Danforth Pizza House,920 Danforth Avenue,Pizza
Fusaro’s,294 Richmond Street E,Italian; Pizza
Ki Modern Japanese + Bar,181 Bay Street,Japanese; Sushi Bars
The Captain’s Boil,476 Yonge St,Seafood; Cajun/Creole; Asian Fusion
Omg Oh My Gyro,155 John Street,Halal; Falafel; Fast Food
Mallo,785 Bathurst Street,Coffee & Tea; Sandwiches
Donatello Restaurant,37 Elm Street,Italian; Seafood
Isabella’s Boutique Restaurant,2066 Queen St East,Japanese; Breakfast & Brunch; Desserts
Shangrila Tibetan & Asian Cuisine,1600 Queen Street W,Himalayan/Nepalese; Asian Fusion; Diners
Kawa Sushi,451 Church Street,Sushi Bars; Japanese
Dönerland,217 Roncesvalles Avenue,Kebab; Mediterranean; Halal
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Gyubee Japanese Grill - Dundas,157 Dundas St W,Barbeque; Japanese
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Roll & Roll by JC Mart,136 Simcoe Street,Sushi Bars
Que Ling Restaurant,248 Boulton Avenue,Vietnamese
The Green Wood,1402 Queen Street E,Breakfast & Brunch
Echo Sushi,2036 Yonge Street,Sushi Bars; Japanese
The Bata Shoe Museum,327 Bloor Street W,Museums
Snakes & Lattes College,489 College Street,Bars; Cafes; Tabletop Games
Athens Restaurant,707 Danforth Avenue,Greek
La Cubana,392 Roncesvalles Avenue,Cuban
Demen Bistro,500 Queen Street W,Vietnamese; Bars
The Olde Yorke,96 Laird Drive,Seafood; Fish & Chips; British
Zaad,348 Bloor Street West,Middle Eastern
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Pizza; Seafood
Bolet’s Burrito,134 Lower Sherbourne,Mexican
M’Zaar Restaurant,668 Yonge Street,Lebanese; Mediterranean
Marche Muvbox,181 Bay Street,Salad
El Furniture Warehouse - Bloor St,410 Bloor St West,American (Traditional); Bars; Comfort Food
Reds Midtown Tavern,382 Yonge Street,Wine Bars; Venues & Event Spaces; Argentine
Biff’s Bistro,4 Front Street E,French
Rosalinda,133 Richmond Street W,Mexican; Vegan
Pablo Cheesetart Canada,114 Dundas St W,Desserts
Opus Restaurant,37 Prince Arthur Avenue,Wine Bars; Modern European
SPIN Toronto,461 King St W,Cocktail Bars; Sports Clubs; American (Traditional)
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
BeaverTails,145 Queen's Quay W,Desserts; Fast Food
Famoso Neapolitan,386 Bloor Street W,Pizza
Figo,295 Adelaide St W,Italian
The County General,936 Queen Street W,Bars; Canadian (New); Breakfast & Brunch
P.J. O’Brien Irish Pub and Restaurant,39 Colborne St,Pubs
Lee Chen Asian Bistro,813 Yonge Street,Dim Sum; Asian Fusion; Wine Bars
Queen St Warehouse,232 Queen St,Bars; Comfort Food; American (Traditional)
The Blake House,449 Jarvis Street,Pubs
Cold Tea,60 Kensington Avenue,Bars
Fresh on Crawford,894 Queen Street W,Vegan; Juice Bars & Smoothies; Burgers
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Italian; Seafood
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Dönerland,217 Roncesvalles Avenue,Kebab; Halal; Mediterranean
King’s Café,192 Augusta Avenue,Chinese; Vegetarian
Emporium Latino,243 Augusta Ave,Latin American; Imported Food
Lao Thai Restaurant,4 Gladstone Avenue,Thai; Laotian
Ascari Enoteca,1111 Queen Street E,Italian; Bars
Ristorante Sotto Sotto,120 Avenue Road,Italian
Portici,6 Scollard Street,Italian; Pizza; Cafes
Hey Lucy,295 King St. W.,Pizza; Breakfast & Brunch
Peter Pan Bistro,373 Queen Street W,Canadian (New); Bistros
Square Boy,875 Danforth Avenue,Burgers; Greek
SU&BU,106 John St,Japanese; Poke
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
"Ay Caramba, Eh",65-3540 Rutherford Road,Latin American; Mexican
Falafel Plus,1065 Canadian Pl,Middle Eastern; Halal
Hogtown Vegan,382 College Street,Vegan
Golden Patty,187 Baldwin Street,Bakeries
Dark Horse Espresso Bar,630 Queen Street E,Coffee & Tea
Nobuya,285 Royal York Road,Japanese
Fune Japanese Restaurant,100 Simcoe Street,Japanese; Sushi Bars
Rikkochez,341 Danforth Avenue,Mediterranean; Middle Eastern
Sorry Coffee,102 Bloor Street W,Coffee & Tea
Douce France,820 Danforth Avenue,Chocolatiers & Shops; French
Hacienda las Américas,424 College Street,Mexican
Yueh Tung Restaurant,126 Elizabeth Street,Hakka; Breakfast & Brunch
Espinas Restaurant,6080 Yonge St.,Mediterranean; Middle Eastern; Persian/Iranian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Japanese; Steakhouses
Supernova Ballroom,330 Bay Street,Cocktail Bars
Espinas Restaurant,6080 Yonge St.,Mediterranean; Persian/Iranian; Middle Eastern
Mi Mi Restaurant,688 Gerrard Street E,Vietnamese
Imonay House Restaurant,665 Bloor Street W,Korean
Hapa Toronto,602 College Street,Japanese
Giulietta,972 College Street W,Italian
Paldo Gangsan,694 Bloor Street W,Korean
Local 1794,1794 Danforth Avenue,Canadian (New); Gastropubs
Mermaid Fish and Grill House,44 St Clair Avenue E,Seafood; Fish & Chips; Mediterranean
7 Numbers Restaurant,516 Eglinton Avenue W,Italian
Wallace Espresso,188 Wallace Avenue,Coffee & Tea; Cafes
‘ONO Poké Bar,100 Western Battery Road,Hawaiian; Sushi Bars; Poke
Flame Food+Design,2197 Bloor Street W,Turkish; Canadian (New)
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Her Chef,599 Bloor Street W,Asian Fusion; Poke; Chicken Shop
Isaan Der,2961 Dundas Street W,Thai
Yorkville Crepes,18 Yorkville Avenue,Creperies; Cafes; Desserts
The Walton,607 College Street,Cocktail Bars
Noodle King,123 Queen Street W,Chinese; Noodles
Manic Coffee,426 College St,Coffee & Tea
Page One,106 Mutual Street,Cafes; Bars; Venues & Event Spaces
Five Doors North,2088 Yonge Street,Italian
Daddyo’s Pasta & Salads,673 Spadina Avenue,Italian
Imanishi Japanese Kitchen,1330 Dundas Street W,Japanese
Olive + Lemon,3604 Major MacKenzie Dr W,Seafood; Italian; Pizza
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Barbeque; Steakhouses
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Dundas,157 Dundas St W,Japanese; Barbeque
Chiado,864 College Street,Seafood; Portuguese
9 Bars,46 St. Clair Avenue E,Cafes; Sandwiches; Desserts
Akai Sushi,168 Major Street,Japanese; Sushi Bars
Crown & Dragon Pub,890 Yonge Street,Pubs
Storm Crow Manor,580 Church Street,Bars
Library Bar,100 Front Street W,Lounges; Canadian (New); Diners
Cafe de Melbourne,193 Church Street,Coffee & Tea
Bampot House of Tea & Board Games,201 Harbord Street,Tea Rooms; Vegetarian
RH Toronto Courtyard Café,Located in Yorkdale Shopping Centre,Breakfast & Brunch; Salad
Rise & Dine Eatery,2714 St. Clair Avenue E,Breakfast & Brunch
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Saffron Spice Kitchen,459 Queen Street W,Indian; Soup; Sandwiches
Baro,485 King Street W,Cocktail Bars; Chicken Wings; Latin American
Pho Rua Vang Golden Turtle,125 Ossington Avenue,Vietnamese
The Old Spaghetti Factory,54 The Esplanade,Italian
Korean Grill House,214 Queen Street W,Korean
Red Rocket Coffee,1364 Danforth Avenue,Desserts; Coffee & Tea
Mustafa Turkish Pizza,866 Wilson Avenue,Turkish
Bunner’s Bakeshop,244 Augusta Avenue,Bakeries; Vegan; Gluten-Free
Flaming Stove,21 Davisville Avenue,Middle Eastern; Diners; Breakfast & Brunch
Sea Witch Fish and Chips,636 Saint Clair Avenue W,Fish & Chips
Dönerland,217 Roncesvalles Avenue,Kebab; Mediterranean; Halal
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Barbeque; Japanese
Olive + Lemon,3604 Major MacKenzie Dr W,Pizza; Italian; Seafood
Gryfe’s Bagel Bakery,3421 Bathurst Street,Bagels
Rendez-Vous,1408 Danforth Avenue,Ethiopian
Caffino Ristorante,1185 King Street W,Italian
Mr.Tonkatsu,548 Yonge Street,Japanese; Korean
Udupi Palace,1460 Gerrard Street E,Indian; Vegetarian; Gluten-Free
Jz’s Pizza,232 Wellington Street W,Pizza; Italian
Basil Box,441 Queen Street W,Vietnamese; Thai; Gluten-Free
DAVIDsTEA,278A Queen Street W,Tea Rooms
Kalendar,546 College Street,Italian; Breakfast & Brunch; French
Ufficio,1214 Dundas Street W,Seafood; Vegetarian; Cocktail Bars
Dönerland,217 Roncesvalles Avenue,Kebab; Halal; Mediterranean
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Barbeque; Steakhouses; Japanese
Spice Club Indian Cuisine,4532 Kingston Road,Indian
Dönerland,217 Roncesvalles Avenue,Halal; Mediterranean; Kebab
Ravi Soups,1128 Queen Street W,Soup
Hailed Coffee,801 Gerrard Street E,Coffee & Tea; Desserts
Hollywood Gelato,1640 Bayview Avenue,Ice Cream & Frozen Yogurt
Jump Restaurant,18 Wellington Street W,Canadian (New); Wine Bars
Knuckle Sandwich,969 Coxwell Avenue,Poutineries; Sandwiches
Harvest Kitchen,124 Harbord Street,Canadian (New); Bars
Sunny Morning,1392 Yonge Street,Breakfast & Brunch
Labothéry,717 Bay Street,Bubble Tea
Get Well,1181 Dundas Street W,Dive Bars
Playa Cabana Cantina,2883 Dundas Street W,Mexican
Indian Spice Room,717 Queen Street E,Indian; Vegetarian
Ozzy’s Burgers Vaughan,3175 Rutherford Road,Burgers
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Japanese; Steakhouses; Barbeque
Flame Food+Design,2197 Bloor Street W,Canadian (New); Turkish
El Pocho Antojitos Bar,2 Follis Avenue,Bars; Breakfast & Brunch; Mexican
Té,70 Ossington Avenue,Asian Fusion; Taiwanese; Korean
Pray Tell,838 College Street,Cocktail Bars; Tapas/Small Plates; Breakfast & Brunch
Barista & Chef,1006 Saint Clair Avenue W,Mediterranean
Cauldron Ice Cream,502 Queen Street W,Ice Cream & Frozen Yogurt
Pancer’s Original Deli,3856 Bathurst Street,Delis
Aziza Cafe,870 College Street,Coffee & Tea; Juice Bars & Smoothies; Breakfast & Brunch
Aroma Fine Indian Cuisine,287 King St W,Indian
DonDon Izakaya,130 Dundas Street West,Japanese; Tapas Bars
Pravda Vodka Bar,44 Wellington St E,Lounges; Russian
Indian Spice Room,717 Queen Street E,Vegetarian; Indian
Aanch Modernistic Indian Cuisine,259 Wellington St W,Indian
Gyubee Japanese Grill - Bloor,335 Bloor Street W,Steakhouses; Japanese; Barbeque
Olive + Lemon,3604 Major MacKenzie Dr W,Italian; Pizza; Seafood
Ritz Caribbean Foods,450 Yonge Street,Caribbean
