Name,Cuisine,URL
A&W (6775 Airport Rd),Fast Food;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-6775-airport-rd/ieHQLc2YQymIhiB94s9KQw
A&W (Aerowood Miss),Fast Food;American;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-aerowood-miss/jPbE8JVoS6ei2xRn81E6ng
A&W (Bathurst Street),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-bathurst-street/B_7yMtknSvqZSx9p5xfV4g
A&W (Bloor & Islington),Burgers;Fast Food;American,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-bloor-%26-islington/yxHfQH-pS0i4xjfxg2XAsQ
A&W (Broadview & Danforth),Burgers;Fast Food;Breakfast and Brunch,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-broadview-%26-danforth/PjeHTYFsQtedTdrB526CLA
A&W (Broadview & Gerrard),American;Burgers;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-broadview-%26-gerrard/-su1_tpGRNOVjm23fIgRHw
A&W (Central Park Missisauga),Burgers;American,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-central-park-missisauga/AHfnojzATwuWpYVQZc-kBQ
A&W (Church & Gerrard),American;Fast Food;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-church-%26-gerrard/Tpl6nATeRAK6kdL7HXRaSw
A&W (College & Ossington),Fast Food;Burgers;Canadian,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-college-%26-ossington/ljzwkJuSSqK0HzKqOy2YCQ
A&W (Danforth & Greenwood),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-danforth-%26-greenwood/d8FLryC6R5GA1bHvE9dwaQ
"A&W (Danforth Avenue, Toronto)",Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-danforth-avenue-toronto/hGbR0XaQQ76X0q83zSYlgg
A&W (Dundas & Dixie),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-dundas-%26-dixie/x_XqbMWiRIyKnuwOlQz58w
A&W (Dundas & Keele),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-dundas-%26-keele/p7y_KWJ8TXadqZW-wuOb3g
A&W (Dupont St),American;Fast Food;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-dupont-st/b7dyK2jNRwyPUWN2UGfMfQ
A&W (East York),Fast Food;Burgers;American,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-east-york/dj7A2E7iT8yPWJrtjZjiqw
A&W (Eglinton & Brimley),American;Fast Food;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-eglinton-%26-brimley/_DhjVd88QXq8mpqOsfip5Q
A&W (Finch Avenue West),American;Fast Food;Burgers;Allergy Friendly,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-finch-avenue-west/9Oe40FS3TNKblXgwsYv7oA
A&W (Heartland),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-heartland/uOLjIi-7T52DbtGzElotUA
A&W (Keele and Sheppard),American;Fast Food;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-keele-and-sheppard/0Zdomew0S2y64WKdces_qw
A&W (Malvern),Burgers;American;Sandwich,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-malvern/C40nF9zwT-amwvfsOY1MDw
A&W (Markham Rd),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-markham-rd/UY46-yujQwiog8uY41kyIw
A&W (Mercer Toronto),American;Fast Food;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-mercer-toronto/2naszJ3uShangpXhgaek8A
A&W (PC Avenue Rd),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-avenue-rd/t5HVp4cjRD-EqnuDdv52Cg
A&W (PC Eglinton),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-eglinton/7ymevAnqSui-ODbSewp5Gw
A&W (PC Goreway Bram),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-goreway-bram/iJ_5xXOiTI2e9D41jY7DNQ
A&W (PC Hwy 27),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-hwy-27/lgIlAmgNRqauec9soDtxoA
A&W (PC Hwy 7 W),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-hwy-7-w/Kx-NGnuJSkKF9Y2eMt99bA
A&W (PC Hwy 7),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-hwy-7/Mxo1Ql-cRteqb46jncXADg
A&W (PC Jarvis),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-jarvis/VL1fUWNhR8it8yXdijKboQ
A&W (PC Major Mackenzie West),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-major-mackenzie-west/b_IBBEMgR1muyHIVDC49AA
A&W (PC Major Mackenzie),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-major-mackenzie/1-4hazLeRCGGLwstCCg8XQ
A&W (PC Morningside & Ellesmere),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-pc-morningside-%26-ellesmere/0P7MHi6JTr2jHcCqjrP54w
A&W (Queen St West),Fast Food;Burgers;American,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-queen-st-west/lx4wZx70ROyg8HHgyQNFNg
A&W (Rogers Rd),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-rogers-rd/Gcb81PwcSaiLaPbLfbcG2w
A&W (Sheppard Ave E),Burgers;American;Sandwiches,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-sheppard-ave-e/xfLNIvBqT6SbttjqKyNqlQ
A&W (Warden Ave Scarborough),Fast Food;American;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-warden-ave-scarborough/87hyfkOHS9ucF6PhSfRVQg
A&W (Yonge & Eglinton),Fast Food;American;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-yonge-%26-eglinton/UfgyuuOmSY68t35nHYEmMw
A&W (York Mills Tor),Burgers;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/a%26w-york-mills-tor/o-K_5vgWQ9GgZ4JO3oooQQ
AZTECA RESTAURANT,Mexican;Latin American,https://www.ubereats.com/en-CA/toronto/food-delivery/azteca-restaurant/7re0i5dhSzCegvCK4l6Mww
Abby's Convenience,Grocery;Desserts,https://www.ubereats.com/en-CA/toronto/food-delivery/abbys-convenience/RUIiWrctQNCwxZjPzpGC1Q
Aburiyaki Sushi,Sushi;Asian;Japanese,https://www.ubereats.com/en-CA/toronto/food-delivery/aburiyaki-sushi/Xv84eavHQAm0r3S-QZtHiQ
Adam's Halal Pub,American;Burgers;Southern;Desserts,https://www.ubereats.com/en-CA/toronto/food-delivery/adams-halal-pub/DAdrqB7ZQUKP9YvG8W3XzQ
Adam's Shawarma,Middle Eastern;Lebanese;Halal,https://www.ubereats.com/en-CA/toronto/food-delivery/adams-shawarma/WhyVasc_R6mkgFIWA7zU6A
Afghan Cuisine (Overlea),Afghan,https://www.ubereats.com/en-CA/toronto/food-delivery/afghan-cuisine-overlea/cMBUDptuTu6T_NGS-awEbw
Afro Spice Chophouse,Rice-bowls;African;Indian Curry,https://www.ubereats.com/en-CA/toronto/food-delivery/afro-spice-chophouse/fkRaKrFlTcqeg8FY9IKVew
AiTaiker Taiwanese Fried Chicken,Asian;Wings;Chicken,https://www.ubereats.com/en-CA/toronto/food-delivery/aitaiker-taiwanese-fried-chicken/0slecuyqTV-nQyoMmmftKg
Aish Tanoor,Kosher;Middle Eastern,https://www.ubereats.com/en-CA/toronto/food-delivery/aish-tanoor/HVyUlR1uTJ650pb7fSvckw
Aji Sai Japanese Restaurant (Danforth Ave & Jones Ave),Japanese;Asian;Sushi,https://www.ubereats.com/en-CA/toronto/food-delivery/aji-sai-japanese-restaurant-danforth-ave-%26-jones-ave/JXEPdfNoTDOsDtUebHdJng
Akita Sushi,Japanese;Asian;Sushi,https://www.ubereats.com/en-CA/toronto/food-delivery/akita-sushi/dTtdCUVjQ--7SRIklCks0w
Al-Meezan Spicy Grill,Mediterranean;Vegetarian;Halal,https://www.ubereats.com/en-CA/toronto/food-delivery/al-meezan-spicy-grill/NlQ3IXKTTau13MJvJho1iA
Aladin Grill,Halal;Chicken;Middle Eastern,https://www.ubereats.com/en-CA/toronto/food-delivery/aladin-grill/xqiPTvbtSHek91YCd0G3JQ
Alan's Filipino Restaurant,Filipino,https://www.ubereats.com/en-CA/toronto/food-delivery/alans-filipino-restaurant/g_cO-IN6S3SSy7Gcme7zNw
Alexandros Take Out (Queens Quay),Mediterranean;Greek;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/alexandros-take-out-queens-quay/7EyrLJf_TzOkzbHqVLvM_A
Ali Baba's (2549 Yonge St),Middle Eastern;Mediterranean,https://www.ubereats.com/en-CA/toronto/food-delivery/ali-babas-2549-yonge-st/hM6kGydNSBiX2K2RUwndIQ
Allwyn's,Caribbean;Jamaican,https://www.ubereats.com/en-CA/toronto/food-delivery/allwyns/UOZn9v1JQ2mX3ENC20Q5fw
Allwyn's Bakery,Jamaican;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/allwyns-bakery/dpsvfoplSKChphE4EsxfqQ
Aloha Poke,Hawaiian;Seafood;Japanese,https://www.ubereats.com/en-CA/toronto/food-delivery/aloha-poke/hBI1TVL0T4CYwrgsy_G9EQ
Amanecer Salvadoreno Restaurant,South American;Comfort Food;Vegetarian Friendly,https://www.ubereats.com/en-CA/toronto/food-delivery/amanecer-salvadoreno-restaurant/RGqXu-Z5QMWafj_4D6_PvQ
Amazing Shawarma,Middle Eastern;Salads;Halal;Burgers,https://www.ubereats.com/en-CA/toronto/food-delivery/amazing-shawarma/A47MJLFTQIGe6Jm0ARZMTA
Ambiyan Restaurant,Indian,https://www.ubereats.com/en-CA/toronto/food-delivery/ambiyan-restaurant/mA2DlbMRQMysl7kawpLvgg
Ambiyan on Yonge,Indian;Vegetarian;Asian,https://www.ubereats.com/en-CA/toronto/food-delivery/ambiyan-on-yonge/27sq_JXnS72rs2whF6_i2g
Ambrosia*,Salads;Vegan Friendly;Vegetarian Friendly;Mediterranean;Healthy,https://www.ubereats.com/en-CA/toronto/food-delivery/ambrosia*/c3CbQOwaQvyVj28NgWeaTA
Anatolian Pide House,Pizza;Salads;Comfort Food,https://www.ubereats.com/en-CA/toronto/food-delivery/anatolian-pide-house/-IEULLKNQJeXIMwdJfiQLw
Anjappar Chettinad (Mississauga),Indian;South Indian,https://www.ubereats.com/en-CA/toronto/food-delivery/anjappar-chettinad-mississauga/J8xaJZD-ToCQorJnPCKZxg
Anjappar Chettinad (Scarborough),Indian;South Indian,https://www.ubereats.com/en-CA/toronto/food-delivery/anjappar-chettinad-scarborough/N0ZOoVQuRQCcox9S0_brgQ
Aroma Espresso Bar (Woodbridge),Coffee and Tea;Breakfast and Brunch;Cafe;Desserts,https://www.ubereats.com/en-CA/toronto/food-delivery/aroma-espresso-bar-woodbridge/SJsV3M9xTRCR5nnBLTgtVw
Asian Legend (Don Mills),Chinese;Asian;Asian Fusion,https://www.ubereats.com/en-CA/toronto/food-delivery/asian-legend-don-mills/7YIlxrcJTVy7IY4If7fnDQ
Astoria Shish Kebob House (Dundas),Greek;Mediterranean,https://www.ubereats.com/en-CA/toronto/food-delivery/astoria-shish-kebob-house-dundas/tCedz7xNTSy8rCwbXYEVeg
Atithi Restaurant,Indian;North Indian;South Indian,https://www.ubereats.com/en-CA/toronto/food-delivery/atithi-restaurant/AqtCIXW2SiK40D5ooK1Rhw
Auleaf Cafe,Healthy;Juice and Smoothies;Kosher,https://www.ubereats.com/en-CA/toronto/food-delivery/auleaf-cafe/fNuGrui-TM2jKPwCrUBtbg
BC Wings,Wings;American;Fast Food,https://www.ubereats.com/en-CA/toronto/food-delivery/bc-wings/OLT39XP4R1G-emS7-sScSA
BURNING FRIDAY,American;Comfort Food;Wings,https://www.ubereats.com/en-CA/toronto/food-delivery/burning-friday/J6kz8zI_Szu3JB0R4N1f4w
Babajollof,African;Comfort Food;Nigerian,https://www.ubereats.com/en-CA/toronto/food-delivery/babajollof/s7iGF_scTnOTjEqvR-clPQ
BabuTakeOutCatering,Indian;Vegetarian;Asian,https://www.ubereats.com/en-CA/toronto/food-delivery/babutakeoutcatering/c0RoF-OLQCaBFT0WPlHXTg
Bagel Time (Bloor St W),Breakfast and Brunch;Sandwiches;Healthy,https://www.ubereats.com/en-CA/toronto/food-delivery/bagel-time-bloor-st-w/WPyHUYbRSziBWhPTHD9Zig
Bagels on Fire,Bakery;Sandwich;Vegetarian Friendly,https://www.ubereats.com/en-CA/toronto/food-delivery/bagels-on-fire/CztrCduzS0-DvA5Hq9rEIg
Bake Code/ Chatime (Colossus),Desserts;Bakery;Asian;Bubble Tea;Coffee and Tea;Juice and Smoothies,https://www.ubereats.com/en-CA/toronto/food-delivery/bake-code-chatime-colossus/7MvD5UtQRMGXtBTQPjeFHg
Bangali Sweets & Restaurant (Scarborough),Indian;Vegetarian;Asian;Desserts,https://www.ubereats.com/en-CA/toronto/food-delivery/bangali-sweets-%26-restaurant-scarborough/Yi_4-29qReqkJgzLayNYgg
Banh Mi Boys - York,Vietnamese;Sandwich;Asian,https://www.ubereats.com/en-CA/toronto/food-delivery/banh-mi-boys-york/Al8c58erQN6zyMC0SIpdyA
Bar B Q Tonite (Dundas/Hurontario),Indian;Pakistani;Halal,https://www.ubereats.com/en-CA/toronto/food-delivery/bar-b-q-tonite-dundas-hurontario/ziwkqL5FQNmObxvheQSUsw
