(43.648638, -79.381744)
(43.645683, -79.392693)
(43.686043, -79.393471)
(43.653182, -79.374797)
(43.623804, -79.512372)
(43.651493, -79.667003)
(43.627046, -79.629814)
(43.670288, -79.39164)
(43.711341, -79.399537)
(43.66684, -79.315206)
(43.755051, -79.349113)
(43.677798, -79.350035)
(43.647915, -79.401325)
(43.648239, -79.400101)
(43.648969, -79.37478)
(43.680437, -79.430636)
(43.63637, -79.625291)
(43.655933, -79.393196)
(43.581554, -79.61755)
(43.656751, -79.364637)
(43.656066, -79.382924)
(43.655222, -79.60875)
(43.665277, -79.380895)
(43.65175, -79.405081)
(43.663488, -79.372335)
(43.710656, -79.398824)
(43.658741, -79.382476)
(43.624491, -79.484714)
(43.657331, -79.380949)
(43.582785, -79.779498)
(43.640497, -79.392676)
(43.568104, -79.665715)
(43.681934, -79.424271)
(43.693007, -79.557271)
(43.652809, -79.399071)
(43.651951, -79.406913)
(43.786688, -79.420381)
(43.65378, -79.395674)
(43.689644, -79.290792)
(43.664358, -79.384006)
(43.725489, -79.312723)
(43.681564, -79.425117)
(43.689774, -79.349327)
(43.646584, -79.513995)
(43.677052, -79.353594)
(43.64481, -79.393578)
(43.647504, -79.400896)
(43.64965, -79.366232)
(43.664523, -79.414528)
(43.658764, -79.38211)
(43.725892, -79.341478)
(43.708523, -79.398928)
(43.643497, -79.403305)
(43.681606, -79.425056)
(43.664178, -79.386612)
(43.654537, -79.407135)
(43.654686, -79.422977)
(43.662567, -79.334015)
(43.654176, -79.407167)
(43.648165, -79.37966)
(43.762443, -79.4109)
(43.727196, -79.482539)
(43.774849, -79.413269)
(43.679899, -79.417263)
(43.644986, -79.391598)
(43.647503, -79.400876)
(43.657331, -79.380949)
(43.66641, -79.316956)
(43.611588, -79.555904)
(43.571475, -79.608546)
(43.730181, -79.465503)
(43.655318, -79.412903)
(43.655312, -79.412861)
(43.531661, -79.613159)
(43.655519, -79.388445)
(43.593205, -79.642576)
(43.684701, -79.31844)
(43.661645, -79.381848)
(43.767713, -79.475911)
(43.692308, -79.440901)
(43.623227, -79.51737)
(43.662063, -79.38647)
(43.706926, -79.45291)
(43.655376, -79.384331)
(43.567125, -79.659704)
(43.590948, -79.594049)
(43.650578, -79.388954)
(43.651411, -79.397111)
(43.664855, -79.383116)
(43.592692, -79.642019)
(43.707248, -79.399603)
(43.666801, -79.385163)
(43.679935, -79.339928)
(43.735504, -79.419647)
(43.663445, -79.383965)
(43.682344, -79.423885)
(43.649754, -79.429262)
(43.701065, -79.396999)
(43.672605, -79.288478)
(43.669037, -79.305695)
(43.64795, -79.401272)
(43.689774, -79.349327)
(43.705723, -79.504196)
(43.616097, -79.616353)
(43.668688, -79.390129)
(43.623817, -79.512367)
(43.663974, -79.382226)
(43.653213, -79.395348)
(43.728975, -79.402952)
(43.654867, -79.399752)
