Name,Cuisine,Coordinate
Delina Restaurant,fish;meat;wrap-burritos;mediterranean,"(43.669037, -79.305695)"
Demen Bistro,meat;soup;noodles;asian;vegetarian;vietnamese,"(43.64795, -79.401272)"
Demi's Poutine - Pape (A Jackpot Brandz Kitchen),fingerfood;fries;juice-smoothie;burgers,"(43.689774, -79.349327)"
Demis Poutines - Jane St,fries;meat;salad;juice-smoothie;poutines,"(43.705723, -79.504196)"
Desi Bar & Grill,canadian,"(43.616097, -79.616353)"
Dessert Lady Cafe & Bakery,home;made;salad;soup;dessert;family;style,"(43.668688, -79.390129)"
Dessert feat. The Cheesecake Factory Bakery - Queensway,ice;cream;dessert;sandwiches;bakery & cafe,"(43.623817, -79.512367)"
Dim Sum House,dumplings;meat;asian;chinese,"(43.663974, -79.382226)"
Dim Sum King,dumplings;fish;asian;chinese,"(43.653213, -79.395348)"
Dim Sum Queen,dim;sum;asian;chinese,"(43.728975, -79.402952)"
Dipped Donuts Inc,vegan;dessert;bakery & cafe,"(43.654867, -79.399752)"
Disgraceland,vegan;burgers;sandwiches;vegetarian,"(43.661137, -79.428627)"
District 34,meat;pasta;salad;seafood;mediterranean,"(43.678404, -79.349216)"
Diyijia,fries;fried;chicken;chinese;asian,"(43.663471, -79.384132)"
Do It Right Halal,curry;meat;pasta;indian;pizza;middle;eastern,"(43.64481, -79.393578)"
Do It Right Halal - Queen,curry;meat;pasta;indian;pizza;middle;eastern,"(43.647508, -79.400876)"
Dolce Bakery,juice-smoothie;dessert;italian;pizza;bakery & cafe,"(43.686136, -79.376157)"
Dominion,canadian;american,"(43.656933, -79.359192)"
Don Don Izakaya,meat;pasta;salad;soup;fried;chicken;dessert,"(43.655706, -79.384589)"
Don Franchesko,meat;pasta;salad;pizza;sandwiches;italian,"(43.768377, -79.472015)"
Dong Gia Viet Thai,spicy;noodles;seafood;vegetarian;vietnamese,"(43.598518, -79.54406)"
Donut Monster,dessert;bakery & cafe,"(43.640752, -79.401731)"
Doralu's Diner,vegan;fries;meat;pancakes-crépes;breakfast,"(43.649517, -79.431194)"
Double D's - Lakeshore,fingerfood;salad;dessert;italian;pizza;american,"(43.601107, -79.503592)"
Dublin Calling,fries;british;burgers;pizza,"(43.648212, -79.389091)"
Dufflet - Yonge,bakery & cafe;french,"(43.715713, -79.400505)"
Dundas Shawarma,falafel;fries;salad;middle;eastern,"(43.652195, -79.40728)"
Dundas Spring Garden,meat;soup;noodles;asian;chinese,"(43.653778, -79.395674)"
Durbar Indian Cuisine,meat;indian,"(43.648913, -79.484799)"
EAT BKK Thai Kitchen - Roncy,vegan;curry;meat;salad;soup;noodles;dessert,"(43.65168, -79.451402)"
East Tea Can,halal;spicy;falafel;meat;salad;soup;middle;eastern,"(43.525403, -79.684321)"
East of Brunswick,salad;american;burgers;canadian,"(43.665287, -79.403603)"
Eat BKK Thai Kitchen,curry;spicy;thai,"(43.759247, -79.410759)"
Eat BKK Thai Kitchen & Bar - North York,salad;soup;noodles;thai,"(43.795701, -79.419207)"
Eat BKK Thai Kitchen - Annex Food Hall,curry;meat;soup;noodles;dessert;seafood,"(43.666413, -79.40721)"
Eat BKK Thai Kitchen - Queen,curry;meat;noodles;thai,"(43.660609, -79.342965)"
Eat BKK Thai Street Food - Queen West,curry;meat;noodles;thai,"(43.64737, -79.403759)"
Eat Indian,spicy;indian,"(43.70799, -79.375843)"
Efes Kebab House,salad;soup;mediterranean,"(43.680413, -79.338419)"
Egglicious Cafe & Grill,fries;salad;juice-smoothie;wrap-burritos,"(43.606413, -79.520773)"
Egglington Grill,meat;bagel;sandwiches;breakfast,"(43.690207, -79.474331)"
Eggsmart - Sherbourne,fries;meat;pancakes-crépes;salad;juice-smoothie,"(43.67116, -79.376242)"
Ein-Stein Cafe Pub,fingerfood;poutine;poutines;burgers;american,"(43.658165, -79.397499)"
El Venezolano,fingerfood;meat;juice-smoothie;soup;latin;american,"(43.679869, -79.341323)"
Enat Buna,gluten;free;meat;salad;juice-smoothie;platters,"(43.653904, -79.371645)"
Estiatorio Soulas Modern Greek Cuisine,home;made;greek;mediterranean,"(43.678201, -79.348852)"
Esto es Colombia,home;made;breakfast;seafood;latin;american,"(43.706635, -79.453444)"
Extreme Pita - Brookfield Place,falafel;meat;salad;wrap-burritos;american,"(43.646625, -79.378897)"
FAMO Sandwiches,meat;salad;sandwiches,"(43.654037, -79.369469)"
FUEL + (Village),salad;juice-smoothie;soup;wrap-burritos,"(43.664448, -79.380345)"
FUEL + (York Mills),salad;juice-smoothie;soup;wrap-burritos,"(43.754269, -79.351428)"
FUEL+ (Canary),salad;juice-smoothie;soup;wrap-burritos,"(43.652878, -79.35607)"
Famoso Neapolitan Pizzeria - Annex,gluten;free;home;made;italian;mediterranean,"(43.666225, -79.40686)"
Fancy Franks - Bloor,fingerfood;fries;american;canadian,"(43.661667, -79.427849)"
Fancy Franks - College,fingerfood;fries;meat;asian;american,"(43.657639, -79.402641)"
Fancy Franks - North York,fingerfood;fries;meat;dessert;american,"(43.722765, -79.415411)"
Fancy Franks - Parliament,fingerfood;fries;meat;american,"(43.664697, -79.368437)"
Fancy Franks - Queen,fingerfood;fries;meat;dessert;american,"(43.648514, -79.397034)"
Farm'r,vegan;fish;meat;salad;soup;vegetarian,"(43.648511, -79.372408)"
Farmacia Organic Health Bar,home;made;vegan;canadian;healthy;food,"(43.671017, -79.296059)"
Fat Bastard Burrito - Adelaide,spicy;latin;american;mexican;vegetarian,"(43.648178, -79.389221)"
Fat Bastard Burrito - Bloor East,spicy;latin;american;vegetarian;mexican,"(43.672406, -79.377943)"
Fat Bastard Burrito - Bloor West,spicy;latin;american;mexican;vegetarian,"(43.649677, -79.482933)"
Fat Bastard Burrito - Blue Jays Way,spicy;latin;american;vegetarian;mexican,"(43.643884, -79.39183)"
Fat Bastard Burrito - College,spicy;latin;american;mexican;vegetarian,"(43.658722, -79.394432)"
Fat Bastard Burrito - Eglinton,meat;taco;wrap-burritos;bbq;seafood;mexican,"(43.605653, -79.652839)"
Fat Bastard Burrito - King W,spicy;latin;american;vegetarian;mexican,"(43.644318, -79.401382)"
Fat Bastard Burrito - Queen W,spicy;latin;american;mediterranean;sandwiches,"(43.643391, -79.423363)"
Fennel Organic Eatery,home;made;salad;juice-smoothie;soup,"(43.666965, -79.403381)"
Fernando's Hideaway,fingerfood;latin;american;spanish;mexican,"(43.679359, -79.341606)"
Figs & Olives Kitchen,halal;gluten;free;meat;salad;soup;wrap-burritos,"(43.664727, -79.3861)"
Film Cafe,american;canadian;japanese;sandwiches,"(43.654934, -79.401894)"
FineFood Productions,pancakes-crépes;soup;pierogis;healthy;food,"(43.648466, -79.655925)"
Fionn MacCool's - Yonge Street,meat;pasta;burgers;american,"(43.697284, -79.396061)"
Five Points: Nashville Hot Chicken,american,"(43.662562, -79.423689)"
Flame and Smoke,fries;salad;dessert;sandwiches;american,"(43.651773, -79.405102)"
Fleets Food,meat;salad;wrap-burritos;dessert;sandwiches,"(43.661012, -79.37884)"
Flock - Adelaide,meat;salad;soup;dessert;american;vegetarian,"(43.64755, -79.392616)"
Flock - Bloor,meat;salad;soup;dessert;burgers;canadian,"(43.670699, -79.38268)"
Flock - Harbord,meat;salad;soup;dessert;vegetarian;healthy;food,"(43.662575, -79.403625)"
Flock - MARS,salad;healthy;food,"(43.659378, -79.389793)"
Flock - North York,salad;healthy;food,"(43.762509, -79.410532)"
Flock - Richmond,meat;salad;soup;dessert;sandwiches;vegetarian,"(43.650924, -79.382063)"
Focaccia Restaurant,meat;pasta;salad;soup;italian,"(43.669405, -79.385839)"
Follow the Wrap,falafel;fries;meat;salad;juice-smoothie;wrap-burritos,"(43.692312, -79.440909)"
Follow the Wrap - North York,falafel;fries;meat;salad;juice-smoothie;wrap-burritos,"(43.767666, -79.475054)"
Food Factor,halal;fries;salad;burgers,"(43.666492, -79.374701)"
FoodBenders,fingerfood;american;sandwiches,"(43.659668, -79.436836)"
Foodtrip,fish;meat;soup;noodles;dessert;bubble;tea,"(43.738526, -79.434523)"
Formocha - Eglinton,juice-smoothie;asian,"(43.707024, -79.396042)"
Four Four South Village Noodle Restaurant,meat;soup;noodles;asian,"(43.662376, -79.383745)"
Fox and Fiddle,fries;wrap-burritos;british,"(43.665051, -79.383072)"
Fox and Fiddle - Don Mills,fingerfood;meat;wrap-burritos;burgers,"(43.754778, -79.350171)"
Fox on John,fingerfood;meat;pub;fare;american,"(43.647488, -79.390395)"
Fran's - Victoria,home;made;american;breakfast;canadian,"(43.654526, -79.379189)"
Frankie's Diner,fish;fries;meat;salad;wrap-burritos;dessert,"(43.644384, -79.418406)"
Free Times Cafe,home;made;canadian;middle;eastern,"(43.657627, -79.402489)"
Fresco's Fish & Chips - Kensington,fries;seafood,"(43.653835, -79.40155)"
Fresh Cup,dessert;bubble;tea;asian,"(43.7859, -79.352711)"
Fresh on Bloor,healthy;food;vegetarian,"(43.66687, -79.403519)"
Fresh on Crawford,poutine;poutines;vegetarian;healthy;food,"(43.644978, -79.414993)"
Fresh on Eglinton,gluten;free;vegan;healthy;food,"(43.707497, -79.3955)"
Fresh on Front,vegan;salad;juice-smoothie;poutine;poutines,"(43.647769, -79.3743)"
Fresh on Spadina,vegan;salad;juice-smoothie;poutine;poutines,"(43.648037, -79.395821)"
Freshed Right Salad and Juice Bar,salad;soup;healthy;food,"(43.662117, -79.366756)"
Freshii - 140 Spadina,vegan;salad;juice-smoothie;wrap-burritos,"(43.647728, -79.396446)"
Freshii - Bay and Wellesley,salad;juice-smoothie;wrap-burritos;healthy;food,"(43.664407, -79.387385)"
Freshii - Billy Bishop Way,healthy;food,"(43.73327, -79.453623)"
Freshii - Bloor & Major,salad;juice-smoothie;soup;wrap-burritos,"(43.666339, -79.406401)"
Freshii - College,salad;juice-smoothie;wrap-burritos;healthy;food,"(43.660988, -79.383888)"
Freshii - Finch,healthy;food,"(43.780178, -79.416405)"
Freshii - Junction,salad;healthy;food,"(43.665627, -79.472076)"
Freshii - King East,salad;healthy;food;vegetarian,"(43.650112, -79.374916)"
Freshii - Liberty Village,salad;soup;wrap-burritos;healthy;food,"(43.64006, -79.419815)"
Freshii - Park Lawn,salad;soup;wrap-burritos;healthy;food,"(43.62312, -79.483773)"
Freshii - St.Clair,healthy;food,"(43.689472, -79.394805)"
Freshii - Stockyard Village,healthy;food,"(43.672395, -79.469185)"
Freshii - The Beaches,salad;soup;wrap-burritos;healthy;food,"(43.670543, -79.298387)"
Freshii - Yonge & Queens Quay E,salad;soup;wrap-burritos;healthy;food,"(43.642727, -79.374092)"
Freshii - Yorkville,salad;juice-smoothie;healthy;food,"(43.670616, -79.39016)"
Friendly Thai - Leslieville,meat;asian;thai,"(43.663319, -79.330605)"
Fritou Chicken Mississauga,meat;fried;chicken;canadian,"(43.597281, -79.786137)"
Full House Desserts,dessert;bakery & cafe,"(43.759988, -79.411541)"
Funky Clucks,meat;fried;chicken;american,"(43.666394, -79.316932)"
Funnel Cake Express,dessert;bakery & cafe,"(43.665195, -79.384293)"
Fusaro's Italian Kitchen - Richmond St,italian;pizza;sandwiches,"(43.653438, -79.36925)"
Fushimi Sushi,fish;meat;salad;soup;noodles;fried;chicken,"(43.665338, -79.380513)"
Fusilli,meat;pasta;juice-smoothie;pizza;seafood,"(43.657118, -79.35719)"
Fuwa Fuwa Japanese Pancakes - Bloor,pancakes-crépes;dessert;japanese;bakery & cafe,"(43.665979, -79.407899)"
Fuwa Fuwa Japanese Pancakes - Yonge,pancakes-crépes;dessert;japanese;bakery & cafe,"(43.711581, -79.399034)"
GREEK&CO - Queen,fingerfood;meat;poutine;poutines;greek,"(43.646008, -79.410393)"
Gabby's,fingerfood;fries;meat;burgers;american,"(43.665634, -79.470268)"
Gangnam Korean Sushi,spicy;noodles;asian;korean,"(43.764091, -79.399246)"
GarfieldEATS,meat;american;canadian;italian;pizza,"(43.660905, -79.429961)"
Gdous Chicken,fries;meat;salad;juice-smoothie;asian;seafood,"(43.651225, -79.396802)"
General Assembly,salad;vegetarian;pizza,"(43.647129, -79.393153)"
George's BBQ - Dundas E.,fingerfood;meat;bbq;burgers;mediterranean,"(43.658169, -79.372726)"
George's BBQ Chicken & Ribs - Pape (A Jackpot Brandz Kitchen),fingerfood;meat;bbq;burgers;sandwiches,"(43.68988, -79.349281)"
George's Greek Grill,fries;meat;salad;juice-smoothie;soup;wrap-burritos,"(43.598842, -79.612208)"
Ghazale - Bloor,spicy;mediterranean;middle;eastern,"(43.66568, -79.410538)"
Ghazale Restaurant,home;made;spicy;mediterranean;middle;eastern,"(43.666617, -79.405858)"
Ginger - Bloor & Yonge,home;made;noodles;soup;asian;vietnamese,"(43.669144, -79.386047)"
Ginger - Church Street,home;made;noodles;soup;spicy;asian;seafood,"(43.665424, -79.380836)"
Ginger - Dundas,home;made;noodles;soup;asian;vietnamese,"(43.657955, -79.381371)"
Gino's Pizza - Etobicoke,meat;salad;pizza,"(43.596983, -79.523637)"
Gino's Pizza - Junction,meat;salad;pizza,"(43.659679, -79.436841)"
Gino's Pizza - North York,fried;chicken;breakfast;pizza,"(43.792463, -79.444737)"
Gino's Pizza - S Gateway,meat;salad;pizza,"(43.63198, -79.614717)"
Gino's Pizza - Yonge/Finch,pizza,"(43.777422, -79.414671)"
Ginza Sushi - Thornhill,curry;fish;meat;salad;soup;noodles;dessert,"(43.806237, -79.423224)"
Glory of India,curry;kebab;meat;indian;vegetarian,"(43.640347, -79.436806)"
Gohyang Restaurant,home;made;fingerfood;fish;soup;noodles,"(43.645054, -79.532784)"
Golden Dough Bakery & Grill,meat;salad;family;style;platters;sandwiches,"(43.596522, -79.596869)"
Golden House,dumplings;meat;noodles;soup;asian;chinese,"(43.683678, -79.392532)"
Golden Thai,spicy;curry;fish;meat;soup;noodles;seafood,"(43.652344, -79.375275)"
Goldenview Chinese Restaurant,spicy;curry;fish;meat;noodles;platters;asian,"(43.605149, -79.72868)"
Gong Cha - 5449 Yonge St,juice-smoothie;bubble;tea;asian,"(43.777331, -79.414674)"
Gong Cha - Bloor West,juice-smoothie;bakery & cafe;asian,"(43.66621, -79.404915)"
Gong Cha - Queen & Spadina,juice-smoothie;bubble;tea;bakery & cafe,"(43.648713, -79.397123)"
Gong Cha - York U,juice-smoothie;bubble;tea;bakery & cafe,"(43.77021, -79.500447)"
Good Karma Healthy Indian Food - Fairview,healthy;food;indian,"(43.777865, -79.343801)"
Good Karma Queen East,vegan;spicy;curry;fish;meat;salad;soup,"(43.658637, -79.350358)"
Govinda's,indian;vegetarian,"(43.676956, -79.397217)"
Grandma Loves You,meat;salad;dessert;american;breakfast;canadian,"(43.677861, -79.390141)"
Granite Brewery,home;made;british;burgers;canadian,"(43.708015, -79.389687)"
Greece Restaurant,fries;home;made;kebab;meat;salad;greek,"(43.704941, -79.388611)"
Greek In The Village,meat;salad;greek,"(43.664228, -79.41613)"
Greek Junior - Mallard,wrap-burritos;sandwiches,"(43.748832, -79.346859)"
Green Basil,meat;salad;noodles;healthy;food;thai,"(43.671275, -79.294771)"
Green Cafe - College,curry;fish;fries;meat;pasta;salad;soup;taco,"(43.656826, -79.406754)"
Green Mango Express,meat;noodles;thai,"(43.622316, -79.521867)"
Greenhouse Juice Co. - Queensway,juice-smoothie;healthy;food,"(43.623839, -79.512384)"
Grillies - Bayview,meat;salad;mexican,"(43.705217, -79.375417)"
Grillies - Danforth,fries;meat;salad;mexican;american,"(43.688681, -79.300177)"
Guirei Japanese Restaurant,home;made;meat;japanese;sushi,"(43.636848, -79.397179)"
Gushi - Dundas,asian;japanese,"(43.652184, -79.40492)"
Gushi - Gerrard,asian;japanese,"(43.662119, -79.366846)"
Gyro Bar,meat;salad;wrap-burritos;greek,"(43.638679, -79.445792)"
Gyro Bar - Coxwell,fries;meat;greek,"(43.696833, -79.329481)"
Gyugyuya - Bloor,curry;meat;seafood;japanese,"(43.665981, -79.407746)"
H Bar,fingerfood;fries;american;burgers,"(43.645741, -79.410469)"
Hakka Fire,meat;salad;soup;noodles;chinese;seafood,"(43.693034, -79.315792)"
Hana Korea,asian;korean,"(43.655823, -79.39373)"
Hanabusa Cafe,pancakes-crépes;dessert;sandwiches;asian,"(43.654596, -79.400564)"
Hangry Burger,meat;poutine;poutines;burgers;canadian,"(43.660919, -79.382576)"
Happy Lemon - Downtown,asian,"(43.666892, -79.385375)"
Harbord Fish & Chips,fish;family;style;seafood;american,"(43.662081, -79.406408)"
Harbour Eats Fresh Greens & Poke,vegan;meat;salad;american;canadian;vegetarian,"(43.641712, -79.380257)"
Harvey's - Avenue Rd.,fingerfood;fries;meat;american;canadian,"(43.730217, -79.418534)"
Harvey's - Commerce Court,fingerfood;fries;meat;american;canadian,"(43.647673, -79.378675)"
Harvey's - Dundas East,fingerfood;fries;meat;american;canadian,"(43.656911, -79.380413)"
Harvey's - Hanna Ave. (Delivery),fingerfood;fries;meat;american;canadian,"(43.639988, -79.418835)"
Harvey's - Hurontario,fingerfood;fries;meat;wrap-burritos;canadian,"(43.608409, -79.650534)"
Harvey's - Jarvis & Gerrard - Delivery,fingerfood;fries;meat;wrap-burritos;sandwiches,"(43.660483, -79.376392)"
Harvey's - St. Clair,fingerfood;fries;meat;wrap-burritos;sandwiches,"(43.682927, -79.418465)"
Hawaii Poke,wrap-burritos;poke;japanese,"(43.66405, -79.380386)"
Heart Clean Eats Cafe,vegan;salad;juice-smoothie;wrap-burritos,"(43.63911, -79.398144)"
Heavenly Perogy,vegan;meat;soup;mediterranean,"(43.653808, -79.40715)"
Her Chef,asian;seafood;canadian,"(43.664603, -79.412932)"
Hero Certified Burger - 4698 Yonge,meat;sandwiches;burgers,"(43.75914, -79.410536)"
Hero Certified Burger - Bay,meat;sandwiches;burgers,"(43.665638, -79.387712)"
Hero Certified Burger - Bayview,meat;sandwiches;burgers,"(43.74783, -79.384318)"
Hero Certified Burger - Spadina & Lonsdale,meat;sandwiches;burgers,"(43.687765, -79.412417)"
Hero Certified Burgers - 100 Queen,fries;pub;fare;american;burgers;sandwiches,"(43.653603, -79.384006)"
Hero Certified Burgers - 3560 Lakeshore,fries;pub;fare;american;sandwiches;burgers,"(43.594648, -79.53385)"
Hero Certified Burgers - 6070 Dixie Rd,fries;pub;fare;american;burgers;sandwiches,"(43.65668, -79.65049)"
Hero Certified Burgers - Simcoe Place,fries;american;burgers,"(43.644623, -79.386758)"
Hero Certified Burgers - TD Centre,fries;american;burgers,"(43.646793, -79.382233)"
Hero Certified Chicken - 100 Queen,fried;chicken;american;burgers;canadian,"(43.653603, -79.384006)"
Hero Certified Chicken - 3560 Lakeshore,meat;fried;chicken;american;canadian;sandwiches,"(43.594845, -79.53395)"
Hero Certified Chicken - 4698 Yonge,fried;chicken;sandwiches,"(43.75914, -79.410536)"
Hero Certified Chicken - 6070 Dixie Rd,fried;chicken;sandwiches,"(43.656178, -79.651009)"
Hero Certified Chicken - Bay,fried;chicken;sandwiches,"(43.665638, -79.387712)"
Hero Certified Chicken - Bayview,fried;chicken;sandwiches,"(43.74783, -79.384318)"
Hero Certified Chicken - Simcoe Place,fried;chicken;sandwiches,"(43.644909, -79.385536)"
Hero Certified Chicken - Spadina & Lonsdale,fried;chicken;sandwiches,"(43.687765, -79.412417)"
Hero Certified Seafood - 100 Queen,seafood;sandwiches,"(43.652588, -79.384128)"
Hero Certified Seafood - 3560 Lakeshore,fish;american;canadian;seafood;sandwiches,"(43.594722, -79.53381)"
Hero Certified Seafood - 4698 Yonge,seafood;sandwiches,"(43.75914, -79.410536)"
Hero Certified Seafood - 6070 Dixie Rd,seafood;sandwiches,"(43.656178, -79.651009)"
Hero Certified Seafood - Bay,seafood;sandwiches,"(43.665638, -79.387712)"
Hero Certified Seafood - Bayview,american;canadian;seafood;sandwiches,"(43.74783, -79.384318)"
Hero Certified Seafood - Simcoe Place,american;canadian;seafood;sandwiches,"(43.644909, -79.385536)"
Hero Certified Seafood - Spadina & Lonsdale,american;canadian;seafood;sandwiches,"(43.688544, -79.414694)"
Hi Tech Pizza,meat;italian;pizza,"(43.669031, -79.337905)"
Hina Sushi - Etobicoke,japanese;korean;seafood;sushi,"(43.625835, -79.504471)"
Hoki Poke,poke;healthy;food;japanese;asian,"(43.665192, -79.384715)"
Hokkaido Sushi - Eglinton,meat;salad;soup;bbq;pizza;sushi;japanese,"(43.708232, -79.389663)"
Holy Cow Steakhouse,dumplings;fries;meat;salad;juice-smoothie,"(43.65007, -79.39147)"
Holy Smokez BBQ,fingerfood;fries;meat;bbq;poutine;american,"(43.604369, -79.590209)"
Holy Snack,juice-smoothie;asian;sandwiches;bakery & cafe,"(43.760212, -79.411491)"
Homemade Ramen,meat;noodles;ramen;asian,"(43.652619, -79.397519)"
Hooky's Fish and Chips,fingerfood;fish;fries;sandwiches;seafood,"(43.645443, -79.41169)"
Hoops - Bremner,fish;fries;meat;pasta;salad;soup;fried;chicken,"(43.642429, -79.382916)"
Hooters,meat;salad;sandwiches;american,"(43.64811, -79.390727)"
Hooters - Etobicoke,meat;salad;fried;chicken;bbq;sandwiches,"(43.681275, -79.592572)"
Hot Star - North York,fried;chicken;asian,"(43.778308, -79.414997)"
Hot Star Large Fried Chicken,fried;chicken;asian,"(43.658802, -79.382424)"
Hotel Gelato,ice;cream;salad;healthy;food;sandwiches,"(43.703579, -79.414368)"
House Of Indian Roti,curry;dumplings;meat;juice-smoothie;dessert,"(43.69517, -79.450186)"
House of Wings,meat;salad;soup;fried;chicken;canadian,"(43.64481, -79.393578)"
House of Wings- Queen,meat;salad;soup;fried;chicken;american,"(43.647507, -79.400878)"
Hua Sang Cantonese Seafood Restaurant,meat;seafood;asian,"(43.655841, -79.393642)"
Hub Sushi,meat;salad;soup;noodles;dessert;platters,"(43.80916, -79.423512)"
Hui Lau Shan,juice-smoothie;bakery & cafe;japanese;asian,"(43.656565, -79.380557)"
Hungary Thai Bar & Eatery,curry;fries;meat;salad;soup;noodles;asian,"(43.654318, -79.402178)"
Hunter's on the Danforth,meat;canadian;greek,"(43.679192, -79.344368)"
Hurry Curry,meat;indian,"(43.657259, -79.376093)"
Hurry Curry - Aerowood Drive,curry;meat;indian,"(43.64403, -79.633726)"
Hurry Curry - Clarence square,spicy;curry;meat;indian,"(43.64481, -79.393578)"
Hurry Curry - North York,spicy;curry;meat;indian,"(43.757504, -79.46628)"
Hurry Curry - Queen,spicy;curry;meat;indian,"(43.647518, -79.40087)"
Hype Food Co.,gluten;free;healthy;food,"(43.669345, -79.335901)"
I Love Sushi,soup;asian;japanese;sushi,"(43.647923, -79.401062)"
IL Fornaro,meat;salad;italian,"(43.734061, -79.420292)"
IL Posto,home;made;pasta;salad;italian;sandwiches,"(43.670391, -79.394722)"
INDIAN TANDOOR HOUSE,curry;fish;fries;meat;dessert;indian,"(43.657289, -79.376144)"
ISLAS FILIPINO BBQ & BAR,fish;meat;salad;soup;fried;chicken;bbq,"(43.639242, -79.444607)"
Il Fornello - Bayview,pasta;italian;pizza,"(43.768324, -79.386364)"
Il Fornello - Danforth,vegan;pasta;pizza;italian,"(43.678688, -79.34687)"
Il Fornello - King Street,pasta;italian;pizza,"(43.64743, -79.386772)"
ImPerfect Fresh Eats,salad;wrap-burritos;healthy;food,"(43.647618, -79.391901)"
Imm Thai Kitchen,curry;noodles;thai,"(43.655098, -79.416032)"
Impact Kitchen - Adelaide,gluten;free;home;made;mediterranean;vegetarian,"(43.646383, -79.398008)"
Impact Kitchen - King E.,gluten;free;home;made;mediterranean;vegetarian,"(43.656091, -79.357023)"
Impact Kitchen - Queen's Quay,gluten;free;home;made;mediterranean;vegetarian,"(43.641043, -79.378871)"
Impact kitchen - Yonge,gluten;free;home;made;greek;mediterranean,"(43.682195, -79.39178)"
Incha Tea House,bubble;tea;asian;chinese;bakery & cafe,"(43.659167, -79.385162)"
Indian Biriyani House,curry;meat;indian,"(43.655249, -79.386545)"
Indian Crown,meat;indian,"(43.76006, -79.412106)"
Indian Cuisine By The Lake,spicy;fingerfood;curry;meat;indian,"(43.552787, -79.585002)"
Indian Grill Restaurant,spicy;curry;asian;indian,"(43.646378, -79.419838)"
Indian Roti House,meat;vegetarian;indian,"(43.758629, -79.466142)"
Indian Spice Room,fries;pancakes-crépes;juice-smoothie;soup,"(43.658723, -79.349335)"
Indian Street Food Co.,spicy;indian,"(43.708, -79.375816)"
Insomnia Restaurant & Lounge,home;made;pancakes-crépes;american,"(43.6651, -79.410842)"
Iron Chef,salad;soup;noodles;platters;japanese,"(43.625848, -79.630721)"
Issmi Sushi,meat;noodles;japanese;sushi,"(43.735239, -79.420083)"
Istanbul Shawarma - College,halal;meat;salad;wrap-burritos;poutine,"(43.656816, -79.4071)"
J's Kitchen,canadian,"(43.726987, -79.343683)"
JC's Grill House - Dixie,pasta;soup;burgers;american,"(43.64267, -79.629217)"
JOE BIRD,salad;soup;fried;chicken;family;style;poutine,"(43.638336, -79.380249)"
JP Sushi,fish;meat;salad;soup;noodles;fried;chicken,"(43.660233, -79.479814)"
JZ's Pizza,spicy;fingerfood;pasta;salad;soup;dessert,"(43.645352, -79.391898)"
Jackson's Burger,fries;american;canadian;burgers,"(43.657541, -79.383873)"
Jam House Seafood Restaurant,meat;noodles;chinese,"(43.610524, -79.583732)"
Japango,dumplings;fish;meat;salad;soup;noodles,"(43.655079, -79.385291)"
Japanhako,meat;noodles;ramen;sushi;japanese,"(43.663872, -79.417969)"
Japas,asian;japanese,"(43.663926, -79.41739)"
Jasmin Sandwich,meat;burgers;middle;eastern;sandwiches,"(43.791593, -79.417911)"
Jerk Land,spicy;meat;canadian;sandwiches;american,"(43.649465, -79.366079)"
Jerk Paradise,salad;caribbean;sandwiches;canadian,"(43.662156, -79.366735)"
Jin's Mi-Fen,spicy;meat;salad;soup;noodles;asian;chinese,"(43.778276, -79.414922)"
Jinks Art Factory,fingerfood;meat;pasta;salad;juice-smoothie,"(43.639422, -79.443701)"
Jinya Ramen,soup;asian;japanese,"(43.661705, -79.379112)"
Johnny's Poutine,pasta;poutine;poutines;canadian,"(43.656733, -79.364717)"
Jojo's Wings - Jane,fingerfood;salad;burgers;sandwiches;american,"(43.705723, -79.504196)"
Judy's Island Grill Toronto,dumplings;meat;salad;dessert;italian;vegetarian,"(43.696615, -79.446876)"
Juicy Dumpling,meat;soup;chinese,"(43.652697, -79.398715)"
Junction Grill,breakfast;burgers;canadian;sandwiches,"(43.665188, -79.468622)"
Junction Grilled Cheese and Mac & Cheese,grocery;american;canadian;vegetarian;sandwiches,"(43.665598, -79.470858)"
Just Pasta,pasta;italian,"(43.654872, -79.401592)"
Juzz Sushi,asian;sushi;japanese,"(43.660731, -79.342354)"
K-Wok,ramen;korean,"(43.668895, -79.386568)"
KINTON RAMEN Bloor West Village,soup;noodles;ramen;asian;japanese,"(43.651443, -79.476059)"
KINTON RAMEN Church,asian;japanese,"(43.660418, -79.378936)"
KINTON RAMEN Harbour,spicy;meat;soup;noodles;ramen;dessert,"(43.641449, -79.380158)"
KINTON RAMEN Koreatown,soup;noodles;ramen;asian;japanese,"(43.664167, -79.416428)"
KINTON RAMEN Mississauga,soup;noodles;ramen;asian;japanese,"(43.585498, -79.645666)"
KINTON RAMEN North York,ramen;asian;japanese,"(43.76981, -79.41275)"
KINTON RAMEN Original,soup;noodles;ramen;asian;japanese,"(43.655769, -79.393974)"
KINTON RAMEN Queen & Spadina,soup;noodles;ramen;asian;japanese,"(43.648689, -79.397202)"
KINTON RAMEN Yonge & Eglinton,soup;noodles;ramen;asian;japanese,"(43.707594, -79.395874)"
KK Sushi,sushi;japanese,"(43.637404, -79.624455)"
Ka Chi - St. Andrew,spicy;meat;asian;korean,"(43.654305, -79.399132)"
Ka Chi Korean Restaurant,spicy;meat;asian;korean,"(43.653439, -79.394592)"
