Name,Cuisine,Coordinate
Asian King BBQ,meat;soup;noodles;asian,"(43.513063, -79.649533)"
Assembli - Toronto,salad;pizza,"(43.66109, -79.378913)"
Aunty's Kitchen,fish;meat;middle;eastern;indian,"(43.580502, -79.735278)"
Ave Maria Latin Cafe,gluten;free;home;made;latin;american,"(43.664345, -79.414391)"
Avocado Sushi,fish;meat;salad;soup;platters;asian;seafood,"(43.667729, -79.38846)"
Azkadenya Mezza Diner,meat;middle;eastern,"(43.650343, -79.38834)"
Azteca Restaurant,meat;wrap-burritos;sandwiches;mexican,"(43.65988, -79.434784)"
B.Good - Yonge & Eglinton,vegan;meat;salad;juice-smoothie;breakfast,"(43.706946, -79.395544)"
BANKNOTE - Corktown,pasta;salad;sandwiches;burgers,"(43.652937, -79.366088)"
BOAT King of Thai Noodles,curry;meat;salad;noodles;thai,"(43.660162, -79.385944)"
BPC CHICKEN,meat;salad;dessert;portuguese;sandwiches,"(43.62436, -79.512593)"
Babaz Shawarma - Pape (A Jackpot Brandz Kitchen),falafel;kebab;meat;salad;wrap-burritos,"(43.689774, -79.349327)"
Bacon Nation - Kensington,meat;breakfast;canadian,"(43.654961, -79.402039)"
Bagel Time,bagel;sandwiches;american,"(43.678797, -79.34689)"
Bagel Time - Bloor St.,gluten;free;meat;salad;bagel;sandwiches,"(43.649009, -79.48464)"
Baguette & Co.,dumplings;salad;sandwiches,"(43.665421, -79.461533)"
Bairrada Churrasqueira - College St.,meat;portuguese,"(43.653282, -79.428751)"
Bairrada Churrasqueira - Dundas St.,meat;portuguese,"(43.650153, -79.433906)"
Bairrada Churrasqueira - Mississauga,fish;meat;sandwiches;seafood;portuguese,"(43.582379, -79.621697)"
Bairrada Churrasqueira - St.Clair,meat;salad;portuguese,"(43.669999, -79.47818)"
Baker Pizza,meat;italian;vegetarian;pizza,"(43.64481, -79.393578)"
Baker Pizza - Queen,meat;italian;vegetarian;pizza,"(43.647494, -79.400963)"
Bakers Calzone - Queen,meat;pasta;juice-smoothie;bbq;dessert,"(43.64749, -79.400959)"
Baklawa King - Dundas,dessert;greek;mediterranean;bakery & cafe,"(43.613503, -79.577909)"
Baklawa King - Eglinton,dessert;middle;eastern;bakery & cafe,"(43.59681, -79.662442)"
Baldini Restaurant,pasta;salad;italian,"(43.661409, -79.339039)"
Bangkok Buri - Union,asian;vegetarian;thai,"(43.645424, -79.379969)"
Bangkok Garden,asian;thai,"(43.657894, -79.382744)"
Bangkok Vegetarian,meat;noodles;thai,"(43.642952, -79.406733)"
Bangku Filipino Cuisine By Rosslax,meat;asian,"(43.717728, -79.429779)"
Banh Mi Boys - Eglinton,spicy;asian;sandwiches,"(43.709206, -79.398628)"
Banh Mi Boys - Queen,fingerfood;sandwiches;vietnamese,"(43.648827, -79.396973)"
Banh Mi Boys - Yonge,fingerfood;sandwiches;vietnamese,"(43.659317, -79.382065)"
Banh Mi Boys - York University,fingerfood;sandwiches;vietnamese,"(43.770184, -79.500619)"
Banh Mi T.O.,vegan;curry;meat;soup;noodles;asian;healthy;food,"(43.645798, -79.41023)"
Banjara,fish;meat;juice-smoothie;dessert;vegetarian,"(43.663156, -79.421962)"
Bar Hop Session,salad;fried;chicken;burgers;vegetarian;canadian,"(43.67898, -79.343963)"
BarBQ Tonite Restaurant,spicy;curry;meat;bbq;vegetarian;indian,"(43.640031, -79.624921)"
BarBurrito - 2575 St Clair,fingerfood;fish;meat;taco;wrap-burritos,"(43.667625, -79.488714)"
BarBurrito - College,meat;salad;taco;wrap-burritos;mexican,"(43.660011, -79.382301)"
BarBurrito - Dufferin,meat;salad;taco;wrap-burritos;vegetarian,"(43.657987, -79.437195)"
BarBurrito - North York,meat;salad;taco;wrap-burritos;mexican,"(43.764267, -79.412033)"
BarBurrito - South Service Rd.,meat;salad;taco;wrap-burritos;vegetarian,"(43.593313, -79.56927)"
Barburrito - Lawrence,fingerfood;fish;meat;taco;wrap-burritos,"(43.716762, -79.447189)"
Baro,mexican;spanish;latin;american,"(43.644886, -79.397202)"
Barrio Coreano,taco;korean;mexican,"(43.664387, -79.415161)"
Basil Box - Bathurst & College,gluten;free;thai;vietnamese;asian,"(43.654176, -79.407167)"
Basil Box - Queen,gluten;free;asian;thai;vietnamese,"(43.648773, -79.396103)"
Basil Box - Ryerson,gluten;free;vietnamese;thai,"(43.657822, -79.381516)"
Basil Box - Square One,gluten;free;thai;vietnamese,"(43.592706, -79.642528)"
Basil Box - Yonge & Finch,gluten;free;thai;vietnamese;healthy;food,"(43.780008, -79.415291)"
Basil Box - Yonge & King,gluten;free;vegan;thai;vegetarian;vietnamese,"(43.649637, -79.378309)"
Basil Box - Yonge & Sheppard,gluten;free;meat;vietnamese;thai,"(43.762514, -79.410532)"
Basil Box - York U,gluten;free;meat;healthy;food;vegetarian,"(43.769606, -79.50195)"
Batch House,salad;pub;fare;burgers,"(43.650007, -79.375371)"
Beauty Barbecue and Smokehouse,meat;american,"(43.769155, -79.385778)"
Bebo's Authentic,pancakes-crépes;breakfast,"(43.612124, -79.543983)"
Bellafornia Restaurant & Bar,meat;salad;american,"(43.802985, -79.419729)"
Best Istanbul Restaurant - North York,kebab;meat;salad;juice-smoothie;soup,"(43.727122, -79.482563)"
Best Istanbul Restaurant- Augusta,falafel;kebab;meat;salad;soup;wrap-burritos,"(43.654632, -79.402004)"
Beverages To-Go,juice-smoothie;bakery & cafe,"(43.644846, -79.393803)"
Beverages To-Go - Queen,juice-smoothie;bakery & cafe,"(43.647505, -79.400962)"
Bhoj,spicy;curry;indian,"(43.672741, -79.389046)"
Big Bowl Stir Fry,vegan;meat;salad;juice-smoothie;soup,"(43.655822, -79.393734)"
Big Poppa’s Vegan,vegan;vegetarian;burgers,"(43.665835, -79.409127)"
Big Smoke Burger - King East,fries;poutine;american;burgers,"(43.649665, -79.37625)"
Big Smoke Burger - King West,fries;poutine;american;burgers,"(43.644387, -79.399595)"
Big Trouble Pizza,foodora;exclusive;pizza,"(43.65134, -79.397042)"
Big Trouble Pizza - Annex,meat;foodora;exclusive;vegetarian;pizza,"(43.665449, -79.40792)"
Bigman's Pizza,pasta;italian;pizza;sandwiches,"(43.704376, -79.375023)"
Bikkuri Japanese Restaurant - King,asian;japanese;sushi,"(43.64958, -79.376319)"
Bikkuri Japanese Restaurant - Queen,japanese;sushi,"(43.670617, -79.296885)"
Bindia Indian Bistro,meat;soup;indian,"(43.648542, -79.372084)"
Birdhouse Fried Chicken,fries;meat;fried;chicken;poutine;canadian,"(43.662627, -79.423722)"
Bismillah Halal Express,curry;meat;dessert;vegetarian;indian,"(43.662115, -79.40623)"
Bistro In a Box,halal;home;made;fingerfood;meat;salad,"(43.655277, -79.416916)"
Biwon Restaurant,dumplings;soup;asian;korean,"(43.653107, -79.396622)"
Blackjack BBQ - Square One,fingerfood;fish;meat;bbq;seafood;american,"(43.592692, -79.642019)"
Blondies Pizza - Commerce Court,meat;italian;pizza,"(43.648076, -79.379444)"
Blondies Pizza - Dundas St E,meat;italian;pizza,"(43.666886, -79.330277)"
Blondies Pizza - Ossington Ave,meat;italian;pizza,"(43.646135, -79.419815)"
Blooming Orchid,dumplings;fish;meat;salad;juice-smoothie,"(43.703273, -79.413914)"
Bodega,home;made;taco;wrap-burritos;caribbean,"(43.656109, -79.393738)"
Boku Noodle Bar,meat;noodles;korean,"(43.650086, -79.36035)"
Bolet's Burrito,spicy;wrap-burritos;mexican;sandwiches,"(43.650047, -79.367973)"
Bombay Palace,spicy;curry;indian,"(43.65118, -79.371925)"
Bombay Roti,spicy;curry;meat;vegetarian;indian,"(43.665262, -79.409453)"
Bombay Tiffin by Miya Bhai,halal;home;made;vegan;spicy;curry;wrap-burritos,"(43.669118, -79.412892)"
Bombay on the Lake,halal;home;made;vegan;curry;vegetarian,"(43.59993, -79.507935)"
Bone Soup Malatang,spicy;fish;soup;noodles;asian;seafood;vegetarian,"(43.773174, -79.414187)"
Boneyard Grill St. Clair West,fries;meat;salad;poutine;burgers;sandwiches,"(43.677769, -79.444586)"
Booster Juice - Queen Street,meat;juice-smoothie;wrap-burritos;sandwiches,"(43.582898, -79.716085)"
Boston Pizza - The Queensway,gluten;free;meat;pasta;canadian;pizza,"(43.618064, -79.543832)"
Boston Pizza - Yonge & Gerrard,fingerfood;burgers;canadian;sandwiches,"(43.659411, -79.381879)"
Bow Thai,spicy;noodles;thai,"(43.778751, -79.363823)"
Bowl,salad;poke;seafood;asian,"(43.657259, -79.3756)"
Brazen Head,meat;british;sandwiches,"(43.638447, -79.417198)"
Bread and Bowl,home;made;fingerfood;american;breakfast,"(43.656242, -79.390739)"
British Style Fish & Chips,fish;seafood,"(43.668625, -79.317276)"
Broast Inn Chicken and Waffles,fries;fried;chicken;family;style;burgers;american,"(43.579095, -79.618828)"
Brock Sandwich,home;made;italian;sandwiches,"(43.65899, -79.442737)"
Bros BBQ - Toronto,meat;bbq;family;style;canadian,"(43.595717, -79.526603)"
BuaBua Thai,curry;meat;salad;soup;noodles;asian;seafood,"(43.707557, -79.375629)"
Bubble Lee,bubble;tea;asian,"(43.648378, -79.397496)"
Bubby's New York Bagels,bagel;american;breakfast;mediterranean,"(43.718315, -79.429268)"
Bubby’s New York Bagels - Lawrence,bagel;american;bakery & cafe;breakfast,"(43.713714, -79.46056)"
Burgatory,fingerfood;fries;american;burgers,"(43.655056, -79.418564)"
Burger Factory,fries;meat;american;burgers,"(43.650183, -79.389159)"
Burger Factory - Mississauga,fries;meat;american;burgers,"(43.636805, -79.624175)"
Burger Legend,fries;meat;salad;poutine;burgers,"(43.58038, -79.712401)"
Burgers n' Fries Forever,home;made;fingerfood;fries;meat;poutine,"(43.648393, -79.420717)"
Burgerz,meat;pub;fare;american;vegetarian;burgers,"(43.64481, -79.393578)"
Burgerz - Queen,meat;pub;fare;american;vegetarian;burgers,"(43.647492, -79.400974)"
Burrito Bandidos,spicy;wrap-burritos;mexican,"(43.666607, -79.405754)"
Burrito Bandidos - Queen East,spicy;wrap-burritos;mexican,"(43.666346, -79.31657)"
Burrito Bandidos - Yonge,spicy;wrap-burritos;mexican,"(43.663041, -79.384172)"
Burrito Boyz - Adelaide,wrap-burritos;mexican,"(43.648383, -79.388018)"
Burrito Boyz - College,spicy;fingerfood;wrap-burritos;mexican,"(43.655155, -79.412971)"
Burrito Boyz - Roncesvalles,spicy;fingerfood;wrap-burritos;mexican,"(43.638798, -79.445915)"
Burrito Festa,meat;salad;wrap-burritos;fried;chicken,"(43.64481, -79.393578)"
Burrito Festa - Queen,meat;salad;wrap-burritos;fried;chicken,"(43.647502, -79.400967)"
Buster's Sea Cove - Bremner,greek;healthy;food;mediterranean;sandwiches,"(43.642792, -79.383308)"
Butter Avenue,dessert;bakery & cafe,"(43.648375, -79.397721)"
Butter Baker,bakery & cafe,"(43.65584, -79.384456)"
Butter Chicken Roti - Mississauga,spicy;curry;meat;indian,"(43.580998, -79.71253)"
Butter Chicken Roti - York Mills,spicy;curry;meat;indian,"(43.754379, -79.351252)"
By Dave,curry;meat;platters;burgers;healthy;food,"(43.73107, -79.43378)"
C & Dubbs Hamburgers Inc,fingerfood;fish;salad;sandwiches;burgers,"(43.615954, -79.575856)"
Cacao 70 - Distillery,pancakes-crépes;salad;dessert;sandwiches,"(43.650175, -79.360627)"
Cacao 70 - Queen Street,pancakes-crépes;salad;dessert;sandwiches,"(43.648291, -79.39803)"
Cafe 668,soup;noodles;vegetarian,"(43.651036, -79.411696)"
Cafe De Khan,meat;bbq;middle;eastern,"(43.588617, -79.739926)"
Cafe Diplomatico,pasta;pizza;italian,"(43.655558, -79.41333)"
Cafe Neon - Queen W,salad;wrap-burritos;american;bakery & cafe,"(43.644214, -79.41983)"
Cafe Neon - Wallace,salad;wrap-burritos;american;bakery & cafe,"(43.661815, -79.446591)"
Cafe Nuna,home;made;salad;breakfast;healthy;food,"(43.647068, -79.405685)"
Cafe Plus,british;sandwiches;breakfast,"(43.718553, -79.456174)"
Cafe Tibet Bar and Grill,gluten;free;dumplings;salad;soup;burgers,"(43.650818, -79.45108)"
Cafe Tutti,home;made;ice;cream;salad;dessert;bakery & cafe,"(43.604096, -79.53613)"
Calabrese Pizza,pasta;salad;soup;italian,"(43.599899, -79.508224)"
Cali Mexican Grill,meat;taco;wrap-burritos;mexican,"(43.720001, -79.45652)"
California Roll,noodles;sushi;japanese,"(43.706699, -79.375809)"
California Sandwiches - Dixie,meat;sandwiches,"(43.653193, -79.645581)"
California Sandwiches - Queensway,salad;dessert;sandwiches,"(43.616666, -79.543167)"
Calii Love - First Canadian Place,salad;noodles;poke;vegetarian;healthy;food,"(43.648638, -79.381744)"
Calii Love - King W,fish;asian;vegetarian;healthy;food,"(43.645683, -79.392693)"
Capocaccia Trattoria,fingerfood;pasta;salad;italian;pizza,"(43.686043, -79.393471)"
Carbon Bar,fingerfood;meat;salad;sandwiches;canadian,"(43.653182, -79.374797)"
Carbon Bar - Queensway,meat;fried;chicken;sandwiches;american,"(43.623804, -79.512372)"
Caribbean Sunset - Meyerside,meat;asian;indian;caribbean,"(43.651493, -79.667003)"
Carinderia,bbq;filipino;breakfast;asian,"(43.627046, -79.629814)"
Carole's Cheesecake Cafe,bakery & cafe;sandwiches,"(43.670288, -79.39164)"
Carole's Cheesecake Counter,dessert;bakery & cafe,"(43.711341, -79.399537)"
Casa Di Giorgio Restaurant,fish;meat;pasta;salad;soup;italian;pizza,"(43.66684, -79.315206)"
Casa Manila,salad;soup;seafood;asian,"(43.755051, -79.349113)"
Casa Sushi,noodles;japanese;sushi,"(43.677798, -79.350035)"
Cauldron Ice Cream,dessert;asian;bakery & cafe;american,"(43.647915, -79.401325)"
Centrale Bergham - Queen,fingerfood;fries;halal;meat;spicy;american,"(43.648239, -79.400101)"
Chadani Indian Cuisine,spicy;curry;meat;indian,"(43.648969, -79.37478)"
Chai Pochana,spicy;meat;salad;juice-smoothie;soup;noodles,"(43.680437, -79.430636)"
Chang & Huang Thai Restaurant,fish;meat;soup;noodles;asian;thai,"(43.63637, -79.625291)"
Charidise,juice-smoothie;noodles;dessert;bubble;tea,"(43.655933, -79.393196)"
Charlie's Caribbean Cuisine,curry;fish;meat;noodles;asian;seafood;caribbean,"(43.581554, -79.61755)"
Charlie's Mac & Cheese,pasta;fried;chicken;poutine;poutines;american,"(43.656751, -79.364637)"
Chaska - Bay,curry;fish;meat;indian,"(43.656066, -79.382924)"
Chaska - Mississauga,curry;fish;meat;indian,"(43.655222, -79.60875)"
Chef Gourmet,meat;middle;eastern,"(43.665277, -79.380895)"
Chef Harwash,fries;meat;soup;dessert;breakfast;middle;eastern,"(43.65175, -79.405081)"
Chew Chew's Diner,fish;fries;meat;salad;poutine;breakfast;burgers,"(43.663488, -79.372335)"
Chi Asian Tapas,soup;noodles;dim;sum;chinese;seafood,"(43.710656, -79.398824)"
ChiChop Taiwanese Grill & Fried,meat;soup;asian,"(43.658741, -79.382476)"
Chiang Mai,vegan;curry;meat;salad;juice-smoothie,"(43.624491, -79.484714)"
Chickee Kone - Dundas Square,sandwiches;american,"(43.657331, -79.380949)"
Chicken Squared,fries;meat;salad;wrap-burritos;burgers;american,"(43.582785, -79.779498)"
Chin Chin Street Side Kitchen,halal;gluten;free;meat;salad;soup;wrap-burritos,"(43.640497, -79.392676)"
Chinese Dumpling House - Mississauga,dumplings;meat;soup;asian;chinese,"(43.568104, -79.665715)"
Chinese Dumplings,dumplings;fingerfood;home;made;asian,"(43.681934, -79.424271)"
Chinese Gourmet Express,spicy;meat;soup;noodles;family;style;asian,"(43.693007, -79.557271)"
Chinese Traditional Bun,home;made;asian;chinese,"(43.652809, -79.399071)"
Chop Chop,dumplings;chinese,"(43.651951, -79.406913)"
Chowon Family Restaurant,meat;korean,"(43.786688, -79.420381)"
Chuan Garden,meat;soup;noodles;asian;chinese,"(43.65378, -79.395674)"
Church's Chicken - Danforth,meat;fried;chicken;american,"(43.689644, -79.290792)"
Church's Chicken - Yonge,meat;fried;chicken;american,"(43.664358, -79.384006)"
Churrasco Portugril,gluten;free;fries;meat;salad;soup;wrap-burritos,"(43.725489, -79.312723)"
Churrasco of St. Clair,spicy;fries;meat;canadian;sandwiches,"(43.681564, -79.425117)"
Churro Burger - Pape (A Jackpot Brandz Kitchen),fingerfood;fries;american;burgers;canadian,"(43.689774, -79.349327)"
